Date,Action,Ticker,Current Cash,Holding Value,Portfolio Value
2024-01-11,Buy,WIT,0.00,91.56,91.56
2024-01-16,Sell,WIT,91.56,0.00,91.56
2024-01-16,Buy,IBKR,0.00,92.10,92.10
2024-01-25,No Cash,AXP,0.00,92.10,92.10
2024-01-25,No Cash,BAH,0.00,92.10,92.10
2024-01-29,No Cash,MSCI,0.00,92.10,92.10
2024-01-31,Sell,IBKR,92.10,0.00,92.10
2024-01-31,Buy,RACE,0.00,89.12,89.12
2024-02-05,No Cash,ITUB,0.00,89.12,89.12
2024-02-06,No Cash,CMG,0.00,89.12,89.12
2024-02-07,No Cash,DIS,0.00,89.12,89.12
2024-02-07,No Cash,NET,0.00,89.12,89.12
2024-02-07,No Cash,RL,0.00,89.12,89.12
2024-02-14,Sell,RACE,89.12,0.00,89.12
2024-02-14,Buy,TRGP,0.00,109.59,109.59
2024-02-19,No Cash,WES,0.00,109.59,109.59
2024-02-21,No Cash,WES,0.00,109.59,109.59
2024-02-21,No Cash,YPF,0.00,109.59,109.59
2024-02-22,No Cash,CPRT,0.00,109.59,109.59
2024-02-22,No Cash,EME,0.00,109.59,109.59
2024-02-22,No Cash,RBA,0.00,109.59,109.59
2024-02-29,No Cash,APG,0.00,109.59,109.59
2024-03-06,No Cash,BJ,0.00,109.59,109.59
2024-03-06,No Cash,KR,0.00,109.59,109.59
2024-03-07,No Cash,IOT,0.00,109.59,109.59
2024-03-11,No Cash,CPNG,0.00,109.59,109.59
2024-03-12,No Cash,SCCO,0.00,109.59,109.59
2024-03-14,No Cash,CSGP,0.00,109.59,109.59
2024-03-14,No Cash,PSX,0.00,109.59,109.59
2024-03-26,No Cash,CCL,0.00,109.59,109.59
2024-03-26,No Cash,CTAS,0.00,109.59,109.59
2024-03-26,No Cash,CUK,0.00,109.59,109.59
2024-04-03,No Cash,HUBS,0.00,109.59,109.59
2024-04-15,Sell,TRGP,109.59,0.00,109.59
2024-04-15,Buy,ITCI,0.00,98.83,98.83
2024-04-25,Sell,ITCI,98.83,0.00,98.83
2024-04-25,Buy,RMD,0.00,96.91,96.91
2024-04-30,No Cash,UTHR,0.00,96.91,96.91
2024-05-01,No Cash,TRI,0.00,96.91,96.91
2024-05-07,No Cash,TOST,0.00,96.91,96.91
2024-05-09,No Cash,GEN,0.00,96.91,96.91
2024-05-16,Sell,RMD,96.91,0.00,96.91
2024-05-16,Buy,RBC,0.00,96.27,96.27
2024-05-29,Sell,RBC,96.27,0.00,96.27
2024-05-29,Buy,BBY,0.00,101.97,101.97
2024-06-04,No Cash,GWRE,0.00,101.97,101.97
2024-06-09,No Cash,KKR,0.00,101.97,101.97
2024-06-09,No Cash,RBA,0.00,101.97,101.97
2024-06-11,No Cash,CASY,0.00,101.97,101.97
2024-06-17,Sell,BBY,101.97,0.00,101.97
2024-06-17,Buy,GLW,0.00,97.07,97.07
2024-06-23,No Cash,EC,0.00,97.07,97.07
2024-07-07,Sell,GLW,97.07,0.00,97.07
2024-07-07,Buy,GLW,0.00,99.92,99.92
2024-07-24,Sell,GLW,99.92,0.00,99.92
2024-07-24,Buy,NOW,49.96,47.66,97.62
2024-07-24,Buy,UHS,0.00,99.34,99.34
2024-07-31,No Cash,GFL,0.00,99.34,99.34
2024-08-06,Sell,NOW,47.66,51.68,99.34
2024-08-06,Buy,AXON,0.00,102.27,102.27
2024-08-11,Sell,UHS,51.68,50.59,102.27
2024-08-11,Buy,MNDY,0.00,103.14,103.14
2024-08-12,No Cash,SE,0.00,103.14,103.14
2024-08-13,No Cash,RACE,0.00,103.14,103.14
2024-08-19,No Cash,PANW,0.00,103.14,103.14
2024-08-26,Sell,AXON,50.59,0.00,50.59
2024-08-26,Sell,MNDY,103.14,0.00,103.14
2024-08-26,Buy,GSK,0.00,100.76,100.76
2024-08-29,No Cash,NU,0.00,100.76,100.76
2024-09-11,Sell,GSK,100.76,0.00,100.76
2024-09-11,Buy,AGI,0.00,102.67,102.67
2024-09-19,No Cash,JHX,0.00,102.67,102.67
2024-09-25,No Cash,TCOM,0.00,102.67,102.67
2024-10-10,Sell,AGI,102.67,0.00,102.67
2024-10-10,Buy,UBER,0.00,95.01,95.01
2024-10-14,No Cash,ERIC,0.00,95.01,95.01
2024-10-14,No Cash,EXEL,0.00,95.01,95.01
2024-10-16,No Cash,CG,0.00,95.01,95.01
2024-10-16,No Cash,SNA,0.00,95.01,95.01
2024-10-17,Sell,UBER,95.01,0.00,95.01
2024-10-17,Buy,NOK,0.00,94.21,94.21
2024-10-30,No Cash,ETR,0.00,94.21,94.21
2024-10-30,No Cash,MO,0.00,94.21,94.21
2024-11-05,Sell,NOK,94.21,0.00,94.21
2024-11-05,Buy,FHN,70.66,23.28,93.94
2024-11-05,Buy,GS,47.10,46.26,93.36
2024-11-05,Buy,STLD,23.55,67.92,91.47
2024-11-05,Buy,TFC,0.00,91.06,91.06
2024-11-06,Buy,Z,0.00,91.06,91.06
2024-11-18,Sell,STLD,21.66,69.40,91.06
2024-11-18,Buy,ESLT,0.00,90.62,90.62
2024-11-20,Sell,FHN,23.28,44.19,67.48
2024-11-20,Sell,TFC,46.42,44.19,90.62
2024-11-20,Sell,GS,69.40,21.22,90.62
2024-11-20,Buy,BJ,34.70,57.14,91.84
2024-11-20,Buy,DE,0.00,92.68,92.68
2024-11-21,No Cash,DDOG,0.00,92.68,92.68
2024-11-24,No Cash,CTVA,0.00,92.68,92.68
2024-11-24,No Cash,EQIX,0.00,92.68,92.68
2024-12-18,Sell,Z,0.00,92.68,92.68
2024-12-18,Sell,ESLT,21.22,71.46,92.68
2024-12-18,Sell,BJ,57.14,0.00,57.14
2024-12-18,Sell,DE,92.68,0.00,92.68
2024-12-18,Buy,DRI,0.00,92.94,92.94
2024-12-19,No Cash,JBL,0.00,92.94,92.94
