Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
WIT, 32.73B,   6.28$, 16.58%, 29.52%,2024-01-11, 6.21%,760.43%,2024-01-15,4,-8.4395%
IBKR, 73.51B,  89.19$,  5.30%,  6.82%,2024-01-16, 5.65%,227.04%,2024-01-29,13,0.5942%
AXP,195.51B, 201.43$,  8.14%, 22.71%,2024-01-25, 4.41%,326.18%,2024-02-20,26,4.6964%
BAH, 13.15B, 146.38$, 14.17%, 27.50%,2024-01-25, 4.42%,207.00%,2024-02-20,26,-1.0179%
MSCI, 44.59B, 602.24$,  8.67%, 17.38%,2024-01-29, 3.67%,252.17%,2024-02-11,13,-2.0009%
RACE, 77.77B, 389.45$, 13.06%, 22.71%,2024-01-31, 4.28%,363.60%,2024-02-12,12,-3.2379%
ITUB, 57.02B,   6.41$,  5.56%, 20.66%,2024-02-05, 5.11%,310.17%,2024-02-21,16,-1.9858%
CMG, 67.57B,  53.34$, 13.00%, 29.15%,2024-02-06, 3.96%,294.35%,2024-02-19,13,-3.2542%
DIS,183.69B, 110.54$, 16.34%, 23.80%,2024-02-07, 3.13%,360.88%,2024-02-20,13,-2.5963%
NET, 42.00B,  90.31$, 10.67%, 34.86%,2024-02-07, 7.26%,395.75%,2024-02-12,5,10.5968%
RL, 14.31B, 171.85$, 19.41%, 39.06%,2024-02-07, 4.82%,443.44%,2024-02-26,19,6.2555%
TRGP, 44.71B,  93.27$,  8.38%, 14.07%,2024-02-14, 3.99%,212.10%,2024-04-11,57,22.9656%
WES, 15.78B,  30.81$,  7.31%, 12.33%,2024-02-19, 5.65%,312.03%,2024-03-07,17,10.3862%
WES, 15.78B,  33.60$, 15.66%, 22.21%,2024-02-21, 4.76%,429.14%,2024-03-07,15,1.2202%
YPF, 17.89B,  18.05$,  6.89%, 27.68%,2024-02-21, 4.93%,236.69%,2024-02-27,6,-5.4294%
CPRT, 53.65B,  51.38$,  3.74%, 11.86%,2024-02-22, 4.75%,225.91%,2024-04-01,39,11.4247%
EME, 18.16B, 269.72$, 12.26%, 30.61%,2024-02-22, 3.37%,204.12%,2024-04-08,46,30.4686%
RBA, 18.53B,  76.73$, 15.52%, 23.49%,2024-02-22, 7.47%,236.81%,2024-03-05,12,-2.3850%
APG, 10.37B,  37.36$,  7.77%, 30.28%,2024-02-29, 5.59%,362.10%,2024-03-13,13,1.3383%
BJ, 14.55B,  78.88$, 12.45%, 17.97%,2024-03-06, 6.19%,220.97%,2024-03-11,5,-7.3656%
KR, 43.45B,  55.48$, 16.06%, 20.23%,2024-03-06, 5.82%,266.52%,2024-03-24,18,0.8652%
IOT, 23.72B,  39.16$, 14.95%, 38.41%,2024-03-07, 5.26%,411.47%,2024-03-14,7,-8.6823%
CPNG, 42.25B,  19.38$, 13.69%, 15.20%,2024-03-11, 3.82%,391.53%,2024-03-13,2,-4.4892%
SCCO, 78.02B,  95.25$, 16.30%, 23.99%,2024-03-12, 6.65%,240.77%,2024-04-18,37,17.7882%
CSGP, 33.90B,  95.18$, 10.82%, 14.97%,2024-03-14, 8.05%,343.13%,2024-03-31,17,-0.6934%
PSX, 51.60B, 159.03$,  8.02%, 32.20%,2024-03-14, 3.02%,259.61%,2024-03-24,10,-1.6160%
CCL, 28.62B,  17.19$,  5.23%,  8.82%,2024-03-26, 3.37%,257.39%,2024-03-27,1,-4.9447%
CTAS, 83.01B, 171.41$,  8.48%, 25.98%,2024-03-26, 3.96%,213.77%,2024-04-09,14,-2.1411%
CUK, 24.85B,  15.62$,  5.34%,  9.28%,2024-03-26, 3.33%,327.51%,2024-03-27,1,-5.6978%
HUBS, 31.59B, 657.85$,  6.05%, 22.89%,2024-04-03, 4.23%,524.58%,2024-04-14,11,-3.0736%
ITCI, 14.03B,  79.84$, 17.54%, 29.08%,2024-04-15, 5.70%,767.82%,2024-04-17,2,-9.8196%
RMD, 32.69B, 218.06$, 16.18%, 26.52%,2024-04-25, 6.90%,325.52%,2024-05-09,14,-1.9444%
UTHR, 14.06B, 255.14$,  8.17%, 10.99%,2024-04-30, 4.76%,213.82%,2024-05-23,23,6.9530%
TRI, 77.48B, 162.96$,  6.41%, 15.88%,2024-05-01, 5.11%,393.49%,2024-05-28,27,3.7371%
TOST, 20.90B,  26.82$, 15.06%, 35.33%,2024-05-07, 6.11%,201.82%,2024-05-20,13,-1.0813%
GEN, 16.89B,  23.46$, 14.33%, 13.39%,2024-05-09, 4.22%,231.86%,2024-05-27,18,5.7545%
RBC, 10.48B, 289.28$, 12.69%, 14.82%,2024-05-16, 4.02%,231.06%,2024-05-28,12,-0.6603%
BBY, 15.82B,  81.55$, 11.08%, 10.63%,2024-05-29, 4.41%,364.79%,2024-06-11,13,5.9227%
GWRE, 16.31B, 127.46$,  7.29%, 21.77%,2024-06-04, 3.04%,463.15%,2024-06-25,21,5.8057%
KKR,109.85B, 108.95$,  5.05%, 32.07%,2024-06-09, 3.53%,428.20%,2024-06-23,14,-1.3584%
RBA, 18.53B,  79.12$,  5.87%, 15.90%,2024-06-09, 3.73%,571.37%,2024-06-19,10,-1.1754%
CASY, 15.47B, 381.13$, 13.81%, 30.92%,2024-06-11, 4.76%,449.97%,2024-06-30,19,-1.0338%
GLW, 41.97B,  40.21$,  8.59%, 27.76%,2024-06-17, 3.01%,205.28%,2024-06-25,8,-4.7998%
EC, 21.38B,  12.67$,  5.13%,  6.39%,2024-06-23, 4.03%,226.21%,2024-06-24,1,-11.8390%
GLW, 41.97B,  43.05$, 11.35%, 34.80%,2024-07-07, 4.99%,515.68%,2024-07-18,11,2.9268%
NOW,177.86B, 828.79$,  8.26%, 15.79%,2024-07-24, 4.76%,382.28%,2024-08-01,8,-4.6031%
UHS, 12.01B, 204.99$, 10.96%, 26.59%,2024-07-24, 6.24%,299.84%,2024-08-06,13,3.4538%
GFL, 18.97B,  40.11$,  3.28%, 18.73%,2024-07-31, 4.54%,223.65%,2024-08-04,4,-3.5652%
AXON, 44.82B, 349.24$, 13.95%, 26.43%,2024-08-06, 5.51%,530.49%,2024-08-22,16,6.1448%
MNDY, 13.43B, 259.05$, 14.02%, 26.97%,2024-08-11, 4.10%,273.67%,2024-08-22,11,1.6869%
SE, 74.84B,  74.85$, 13.51%, 38.03%,2024-08-12, 5.81%,206.26%,2024-08-27,15,8.5371%
