Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
MCO, 83.00B,2023-06-02, 322.36$,  1.02,  1.10,83,2,  1.07,  1.10,  1.13,  1.03,  1.05,  1.02,  1.00,1.335,  2.14,  3.38, 14.60, 17.58,  1.04,2024-07-17,411,40.6998%,"Gain, min: -7.44%"
QSR, 29.20B,2023-06-02,  71.63$,  1.43,  0.93,3650,1,  1.10,  1.16,  1.21,  1.06,  1.10,  1.04,  1.03,0.969,  3.29,  3.29, 14.60, 17.58,  1.05,2025-03-28,665,-9.9260%,"End of data, max: 10.78%"
IX, 24.11B,2023-09-01,  18.84$,  1.40,  0.41,23,1,  1.03,  1.07,  1.09,  1.04,  1.06,  1.02,  1.02,0.867,  1.40,  3.35, 13.09, 15.93,  1.04,2025-03-28,574,12.4204%,"End of data, max: 32.80%"
NVR, 21.32B,2023-09-01,6509.35$,  2.07,  0.90,3650,1,  1.04,  1.13,  1.18,  1.08,  1.13,  1.05,  1.04,1.254,  2.07,  3.56, 13.09, 15.93,  1.06,2024-08-23,357,43.1982%,"Gain, min: -17.39%"
STLA, 33.96B,2023-09-15,  18.02$,  2.21,  2.46,27,25,  1.03,  1.13,  1.18,  1.09,  1.14,  1.05,  1.04,1.199,  2.21,  3.78, 13.79, 14.96,  1.04,2024-03-06,172,41.1210%,"Gain, min: -6.49%"
HLT, 54.31B,2023-11-16, 166.61$,  1.06,  0.59,3650,1,  1.09,  1.13,  1.14,  1.03,  1.04,  1.01,  1.01,1.293,  2.68,  3.89, 14.32, 17.33,  1.05,2024-09-27,316,40.5018%,"Gain, min: -0.31%"
MAR, 65.34B,2023-11-16, 200.72$,  1.25,  0.68,45,1,  1.04,  1.08,  1.11,  1.04,  1.07,  1.03,  1.02,1.586,  2.36,  3.02, 14.32, 17.33,  1.05,2024-11-11,361,41.8045%,"Gain, min: -0.34%"
IHG, 17.08B,2023-12-01,  80.07$,  3.52,  0.81,3650,2,  1.09,  1.12,  1.14,  1.03,  1.05,  1.02,  1.01,0.926,  3.52,  3.65, 12.63, 13.94,  1.04,2024-09-26,300,40.8018%,"Gain, min: -0.80%"
ALL, 54.71B,2024-03-28, 169.60$,  1.87,  1.08,3650,3,  1.09,  1.27,  1.34,  1.16,  1.23,  1.06,  1.04,0.464,  1.87,  3.54, 13.01, 13.81,  1.05,2025-03-28,365,21.7276%,"End of data, max: 23.93%"
RJF, 28.48B,2024-03-28, 127.07$,  1.15,  1.03,3650,3,  1.10,  1.19,  1.20,  1.09,  1.10,  1.01,  1.03,1.053,  1.59,  2.91, 13.01, 13.81,  1.04,2025-03-28,365,9.3964%,"End of data, max: 35.86%"
