Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
PTHL,508.94,99,99,13,19,1
PTIR,480.06,99,99,99,99,2
GRYP,468.67,99,99,1,2,3
GSRTR,464.33,99,99,89,87,4
MVST,456.94,99,99,99,99,5
MFI,446.52,99,99,8,3,6
PRCH,408.97,99,99,99,98,7
PROK,387.23,99,5,4,13,8
MNPR,373.77,99,99,99,99,9
MTEN,371.76,99,99,86,95,10
PSIX,336.67,99,99,99,99,11
GNS,308.61,99,8,1,2,12
GRRR,285.25,99,99,99,99,13
PAYS,261.19,99,97,8,8,14
PCLA,260.52,99,9,0,35,15
MSGM,247.73,99,98,7,9,16
PRPO,242.07,99,97,47,29,17
PLTR,241.87,99,99,99,98,18
MYNZ,229.61,99,98,99,99,19
PLTU,222.33,99,99,96,14,20
GRNQ,221.39,98,94,25,81,21
MATH,221.27,98,99,88,83,22
GRPN,213.13,98,99,98,20,23
PDYN,212.96,98,99,98,99,24
MP,210.89,98,94,97,87,25
GRAL,210.69,98,99,98,85,26
GAME,209.05,98,23,16,12,27
MOB,204.12,98,97,28,98,28
PL,204.08,98,98,93,97,29
PGY,203.24,98,97,39,7,30
GSIW,201.22,98,97,2,0,31
PCT,199.01,98,97,27,96,32
MSTU,197.4,98,98,95,99,33
PPIH,195.8,98,88,76,94,34
PRZO,195.68,98,96,11,99,35
EYE,193.77,98,98,60,10,36
PMEC,193.49,98,97,92,15,37
PRME,189.55,98,3,3,4,38
PARR,189.1,98,95,10,8,39
PSNL,188.19,98,98,95,98,40
MASS,186.28,97,98,97,4,41
GMM,184.92,97,97,99,99,42
GOGO,183.11,97,96,39,22,43
MEGL,183.06,97,99,99,49,44
MDAI,180.27,97,93,16,89,45
PLBY,180.16,97,96,78,98,46
MSTX,178.51,97,98,89,99,47
ESGL,178.37,97,98,98,94,48
MSTR,177.91,97,98,97,99,49
GEV,176.33,97,98,97,98,50
PCTTU,176.13,97,90,20,97,51
PVLA,174.95,97,96,99,64,52
ETON,174.73,97,98,99,99,53
MOGO,174.04,97,74,12,20,54
ESP,172.06,97,97,89,87,55
EVEX,170.93,97,96,32,72,56
EPRX,168.52,97,87,89,80,57
MPU,168.13,97,20,8,8,58
MGNI,167.77,97,93,17,92,59
PULM,166.58,97,99,98,99,60
MGIC,166.21,96,94,91,78,61
GDC,165.69,96,86,99,92,62
MBOT,164.77,96,98,98,96,63
GORO,164.37,96,98,93,20,64
GHRS,163.83,96,94,76,56,65
MAXI,163.42,96,97,47,96,66
PLTY,163.07,96,97,97,92,67
POET,161.73,96,94,97,99,68
PRE,160.53,96,96,18,90,69
ECX,159.26,96,18,9,59,70
EFOI,159.05,96,62,94,23,71
MUU,158.24,96,36,3,10,72
GDS,157.9,96,96,98,98,73
ETU,157.37,96,77,1,94,74
PTHS,157.15,96,86,97,7,75
EVLV,156.91,96,97,64,9,76
MULL,156.57,96,37,3,14,77
METC,155.82,96,25,17,6,78
EDIT,155.39,96,24,11,1,79
MGTX,154.48,95,71,85,65,80
MSTY,153.36,95,97,95,98,81
GROY,153.29,95,96,88,10,82
EVOK,153.01,95,6,4,7,83
ETNB,152.71,95,88,20,6,84
PZG,152.41,95,96,42,14,85
ETHT,152.11,95,49,1,20,86
MIMI,151.97,95,94,47,67,87
ETHU,151.08,95,43,0,13,88
GREE,150.95,95,82,2,5,89
ESLT,149.06,95,97,98,94,90
PHVS,148.05,95,24,14,10,91
PAHC,146.01,95,88,62,88,92
PPTA,145.08,95,98,98,97,93
GSIT,144.98,95,88,29,17,94
EZBC,144.34,95,95,90,96,95
GHM,144.15,95,95,28,96,96
GDXU,144.13,95,97,98,15,97
MTEK,143.63,95,93,30,98,98
MIND,143.61,95,85,39,97,99
ELTX,143.53,94,89,27,86,100
GALT,142.83,94,5,17,3,101
PRM,142.74,94,95,55,97,102
ENLT,141.52,94,82,38,45,103
GH,141.45,94,95,98,96,104
GEOS,141.08,94,8,9,15,105
ELVA,140.9,94,95,43,24,106
MPAA,140.89,94,96,97,77,107
EAT,140.49,94,98,98,98,108
PSIL,139.75,94,93,81,31,109
GBTC,139.58,94,94,86,95,110
ENVX,139.26,94,39,7,68,111
MAG,139.23,94,95,90,84,112
EYPT,138.71,94,77,10,4,113
MKTW,138.36,94,94,73,7,114
EUAD,138.24,94,95,96,36,115
PBI,137.27,94,95,96,92,116
PBPB,136.5,94,90,29,75,117
PGEN,136.22,94,86,92,25,118
MIR,136.06,94,97,82,92,119
EXEL,135.84,93,94,95,94,120
MFH,135.77,93,97,99,99,121
MTW,134.29,93,83,17,8,122
PHLT,133.88,93,56,30,8,123
PRQR,133.8,93,19,8,16,124
MLCO,133.7,93,51,20,9,125
EMX,133.64,93,93,92,22,126
MYRG,133.13,93,94,21,67,127
EURL,132.81,93,92,82,17,128
ERJ,132.22,93,89,96,95,129
ECG,131.61,93,92,13,91,130
MOMO,131.41,93,92,30,73,131
MIRA,131.33,93,68,33,89,132
ESE,131.31,93,94,94,83,133
PRA,131.06,93,96,98,78,134
PONY,130.97,93,30,4,75,135
GREK,130.82,93,92,92,54,136
EXK,130.72,93,90,88,80,137
EVI,130.69,93,62,30,12,138
ESEA,130.38,92,87,23,17,139
GDMN,130.11,92,96,98,80,140
MOS,130.03,92,93,49,22,141
PRIM,130.01,92,87,44,97,142
GOOS,130.01,92,83,15,18,143
PGRE,129.73,92,95,31,20,144
METCB,129.41,92,9,16,11,145
PPLT,129.21,92,91,55,27,146
GHLD,129.09,92,71,70,14,147
PLTM,129.07,92,91,54,27,148
MEXX,129.04,92,95,21,3,149
MYE,129.01,92,78,17,8,150
ESQ,128.84,92,95,94,95,151
MCB,128.63,92,91,72,87,152
GOSS,128.55,92,96,29,66,153
PM,128.25,92,95,97,82,154
MT,127.6,92,83,89,25,155
GE,127.36,92,94,87,84,156
PHAT,127.35,92,92,5,5,157
GNE,126.86,92,97,62,16,158
MTC,126.79,91,98,96,98,159
GBFH,125.83,91,95,96,97,160
PEGA,125.43,91,95,40,96,161
METU,125.34,91,92,23,88,162
MTZ,125.17,91,94,62,96,163
MURA,124.8,91,7,2,28,164
GTN,124.77,91,22,22,4,165
GTES,124.75,91,86,44,86,166
GS,124.54,91,89,75,91,167
GF,124.44,91,92,92,20,168
MNDR,124.27,91,96,99,1,169
MTA,124.26,91,89,77,12,170
GRND,124.05,91,97,96,95,171
MSFL,123.97,91,90,19,24,172
GEL,123.7,91,93,92,13,173
ETHV,123.59,91,82,7,70,174
ETHA,123.58,91,82,7,70,175
EZET,123.58,91,82,7,70,176
EOSE,123.48,91,98,99,99,177
ETH,123.46,90,82,7,69,178
ETHW,123.46,90,82,7,70,179
MCHP,123.4,90,73,8,7,180
GNLX,123.4,90,19,31,7,181
EWBC,123.07,90,79,30,88,182
MSFU,122.81,90,89,19,27,183
MIST,122.75,90,30,5,88,184
MU,122.54,90,82,12,27,185
PUK,122.52,90,94,94,13,186
GFI,122.52,90,96,97,27,187
MNMD,122.32,90,74,22,53,188
GILT,122.3,90,68,87,88,189
GMS,122.29,90,25,25,18,190
EVR,122.28,90,81,18,88,191
ETHE,122.27,90,76,7,87,192
EPR,122.24,90,91,90,64,193
ENVA,122.13,90,88,90,95,194
MSFX,121.87,90,88,18,26,195
GRABW,121.75,90,92,96,98,196
GDXJ,121.43,90,95,96,66,197
PWR,121.42,89,92,43,89,198
EIS,121.21,89,88,87,90,199
EDC,121.21,89,87,28,21,200
PERI,121.21,89,83,31,15,201
EME,121.21,89,87,34,95,202
GOEX,121.15,89,95,96,72,203
ELAN,121.0,89,77,13,16,204
EWO,120.97,89,91,91,44,205
MGRM,120.97,89,72,87,51,206
EETH,120.91,89,72,6,78,207
GSIB,120.31,89,90,90,86,208
GEVO,120.23,89,92,86,98,209
GOAU,120.22,89,95,96,52,210
GNTY,119.49,89,87,92,67,211
MIRM,119.28,89,90,86,93,212
EXOD,119.24,89,96,99,99,213
EPOL,118.95,89,90,93,33,214
PTGX,118.66,89,90,94,72,215
PLOW,118.42,89,84,67,35,216
EVC,118.41,89,88,29,51,217
MQ,118.26,88,90,27,7,218
PJT,118.14,88,87,78,92,219
PVL,117.91,88,92,81,78,220
PODC,117.88,88,81,42,95,221
GSAT,117.66,88,54,31,93,222
PLAY,117.55,88,86,7,4,223
GRCE,117.49,88,52,11,79,224
PAAS,117.49,88,91,95,77,225
PLPC,117.4,88,89,89,44,226
EUFN,117.3,88,91,93,73,227
MVBF,117.26,88,73,24,21,228
PBF,117.25,88,11,4,10,229
MRX,117.2,88,96,98,95,230
ECNS,117.17,88,89,88,54,231
MQQQ,117.0,88,86,26,79,232
GENI,116.9,88,89,97,93,233
GTX,116.89,88,86,63,69,234
MYFW,116.87,88,70,69,28,235
PLG,116.79,88,90,44,20,236
ESPO,116.68,88,92,93,89,237
GSL,116.5,87,77,35,28,238
PWOD,116.33,87,87,88,94,239
MS,116.24,87,89,76,91,240
EWP,116.04,87,91,93,42,241
EL,115.99,87,16,10,8,242
EMR,115.87,87,81,29,81,243
EOSEW,115.83,87,98,89,99,244
GPI,115.79,87,88,91,93,245
PAC,115.75,87,92,85,83,246
ELF,115.65,87,92,3,30,247
METV,115.49,87,87,44,82,248
EQS,115.34,87,64,13,19,249
MRCY,115.32,87,93,95,90,250
MPC,115.16,87,70,19,20,251
MGYR,115.12,87,88,87,87,252
MCHX,115.12,87,52,23,89,253
GAMR,115.11,87,89,80,74,254
MARA,115.06,87,52,16,47,255
MAKX,115.03,87,82,26,78,256
PDEX,114.87,86,91,99,97,257
GDE,114.81,86,91,91,85,258
EVAV,114.77,86,81,13,87,259
ECVT,114.76,86,79,16,28,260
EXTR,114.17,86,85,24,87,261
GRFS,114.14,86,84,42,23,262
GDX,114.14,86,93,96,56,263
ELPC,114.13,86,93,91,13,264
EQT,113.99,86,91,93,94,265
EU,113.93,86,23,2,9,266
GCAD,113.52,86,89,74,77,267
EWG,113.51,86,89,91,62,268
GWRE,113.4,86,96,95,89,269
PAX,113.36,86,89,27,18,270
EWI,113.35,86,89,89,56,271
MELI,113.34,86,90,92,65,272
PCB,113.31,86,78,70,78,273
MEG,113.22,86,55,7,8,274
PESI,113.16,86,80,12,32,275
MUX,113.04,86,71,27,18,276
PNFP,112.91,85,75,41,89,277
PWRD,112.88,85,85,36,81,278
PRTG,112.87,85,97,98,6,279
MTRX,112.69,85,52,34,90,280
EWY,112.62,85,84,36,17,281
GILD,112.61,85,90,96,83,282
PDLB,112.54,85,86,81,91,283
EFO,112.48,85,84,70,22,284
PPA,112.38,85,88,83,78,285
EWH,112.38,85,84,77,47,286
EXEEW,112.27,85,93,90,90,287
META,112.22,85,89,48,88,288
ELLO,112.12,85,22,56,85,289
PFGC,112.09,85,81,65,83,290
PBW,112.08,85,60,15,31,291
EFAS,112.08,85,86,89,33,292
PALL,112.07,85,75,48,23,293
PZZA,112.07,85,81,15,6,294
GRAB,111.89,85,83,82,91,295
PLNT,111.84,85,85,92,93,296
GEO,111.53,84,93,97,98,297
GXO,111.46,84,26,14,9,298
MSB,111.34,84,95,97,93,299
MAGX,111.29,84,85,22,95,300
MISL,111.28,84,85,80,74,301
EMEQ,111.26,84,84,52,34,302
MBCN,111.21,84,84,43,23,303
EET,111.21,84,84,42,27,304
GVAL,111.16,84,87,90,40,305
EWS,111.08,84,86,87,80,306
EMA,111.07,84,84,94,60,307
PBBK,110.99,84,68,85,65,308
MRT,110.94,84,77,97,98,309
PNR,110.86,84,79,35,86,310
EHC,110.76,84,91,91,76,311
MAMA,110.68,84,78,46,85,312
PKST,110.56,84,69,45,13,313
MITT,110.53,84,67,55,48,314
PAR,110.51,84,79,52,95,315
MMM,110.44,84,82,92,90,316
MKOR,110.33,83,82,38,19,317
MNYWW,110.2,83,9,10,71,318
EMF,110.2,83,83,77,44,319
PIZ,110.16,83,87,87,60,320
PENG,110.09,83,69,21,68,321
PTON,110.09,83,93,88,97,322
EBAY,110.06,83,91,89,86,323
EXEEL,110.05,83,93,92,92,324
MPV,110.02,83,85,85,77,325
MAIN,109.93,83,81,82,89,326
PSLV,109.9,83,80,86,66,327
PRDO,109.88,83,94,92,92,328
GVA,109.87,83,89,84,94,329
PLMR,109.66,83,96,98,90,330
GDOT,109.61,83,90,23,18,331
MLI,109.59,83,77,87,92,332
GLU,109.57,83,79,87,67,333
PH,109.46,83,79,44,84,334
PRLB,109.44,83,78,77,87,335
PTCT,109.43,82,85,95,92,336
MBX,109.42,82,9,4,2,337
PBT,109.36,82,61,23,31,338
PAG,109.34,82,77,61,56,339
GOLF,109.26,82,73,39,80,340
MDWD,109.25,82,85,35,62,341
MTUL,109.21,82,90,37,86,342
EGGQ,109.14,82,77,31,31,343
MTB,108.84,82,72,43,87,344
ELP,108.83,82,92,91,12,345
PAYC,108.78,82,93,93,86,346
EFNL,108.69,82,80,85,24,347
GGME,108.65,82,84,62,81,348
GOLY,108.61,82,87,92,74,349
MXF,108.61,82,88,47,12,350
MUFG,108.56,82,83,84,84,351
EZA,108.38,82,89,90,52,352
MSFT,108.3,82,83,36,49,353
PATK,108.27,82,74,59,82,354
GLTR,108.23,81,87,92,72,355
EEX,108.23,81,55,15,20,356
GTLS,108.22,81,48,19,95,357
GCT,108.19,81,34,6,7,358
ELPW,108.19,81,15,12,0,359
EFSC,108.18,81,63,56,87,360
MTSI,108.13,81,88,25,92,361
MBBC,108.07,81,92,95,95,362
PEJ,107.99,81,80,46,81,363
ECF,107.97,81,81,69,84,364
GOTU,107.96,81,86,32,3,365
GEF,107.9,81,73,29,29,366
PIPR,107.88,81,48,31,90,367
MRUS,107.86,81,79,41,15,368
PSMT,107.77,81,90,89,49,369
EXPE,107.73,81,84,54,90,370
MBWM,107.72,81,61,42,64,371
PDN,107.68,81,82,83,32,372
ENOR,107.67,81,85,81,44,373
E,107.63,81,72,34,23,374
GT,107.58,81,89,47,17,375
EM,107.49,80,89,96,96,376
PODD,107.48,80,92,91,91,377
EPU,107.46,80,85,85,64,378
EZU,107.45,80,83,86,43,379
MFG,107.4,80,81,85,88,380
MNSB,107.3,80,69,34,18,381
PFIS,107.27,80,75,38,78,382
MXE,107.14,80,85,46,13,383
GGZ,107.04,80,76,55,51,384
PRAX,107.04,80,28,5,88,385
GLDM,107.01,80,90,94,77,386
PVBC,106.86,80,71,82,65,387
GLD,106.79,80,90,94,76,388
GWX,106.73,80,78,73,30,389
ETG,106.68,80,81,65,61,390
MUSQ,106.65,80,84,59,41,391
MAT,106.64,80,39,26,38,392
GLAD,106.61,80,79,81,91,393
GIL,106.58,80,68,49,88,394
MKSI,106.49,79,22,9,66,395
EGO,106.44,79,92,93,20,396
MCFT,106.37,79,41,23,25,397
EFFI,106.34,79,84,83,45,398
PHYS,106.2,79,89,94,76,399
EPSN,106.17,79,93,87,85,400
ESTA,106.15,79,24,21,10,401
PWB,106.06,79,84,50,78,402
PNC,105.96,79,52,30,84,403
MC,105.96,79,27,23,88,404
MRAM,105.96,79,65,18,17,405
MBAVU,105.95,79,92,76,39,406
MD,105.9,79,91,95,92,407
PNQI,105.88,79,83,52,82,408
GMOI,105.81,79,77,83,26,409
MTNB,105.81,79,87,3,0,410
GECC,105.76,79,79,81,75,411
GRMN,105.66,79,67,87,93,412
GRNY,105.65,79,73,31,42,413
GPRE,105.63,79,4,2,5,414
ETWO,105.6,78,75,10,7,415
MIDU,105.58,78,22,11,82,416
EOD,105.55,78,79,79,74,417
ETR,105.55,78,87,96,93,418
EXI,105.55,78,78,68,57,419
MCY,105.51,78,74,64,25,420
EEA,105.47,78,76,76,25,421
EFV,105.45,78,80,86,40,422
PLUR,105.45,78,15,21,17,423
GRID,105.43,78,77,42,62,424
MLTX,105.33,78,46,18,13,425
GTEK,105.33,78,80,34,78,426
PXF,105.24,78,79,83,38,427
EWT,105.22,78,73,32,63,428
PFBC,105.21,78,60,57,75,429
MTLS,105.21,78,55,18,94,430
EGAN,105.19,78,80,18,71,431
GVIP,105.15,78,81,46,82,432
PAVE,105.12,78,71,35,74,433
GAST,105.05,78,70,37,67,434
EATZ,105.03,77,80,71,79,435
GELS,104.97,77,82,3,7,436
MSM,104.94,77,60,46,25,437
EQH,104.93,77,87,86,90,438
PKBK,104.89,77,59,43,60,439
MMLG,104.87,77,81,35,77,440
MCK,104.87,77,87,94,79,441
MTAL,104.85,77,59,15,14,442
EVER,104.82,77,84,83,58,443
MOTO,104.82,77,71,28,52,444
ESAB,104.82,77,83,82,86,445
MITQ,104.81,77,27,65,95,446
MARPS,104.8,77,59,42,75,447
MVPL,104.8,77,73,37,77,448
GSEU,104.72,77,78,84,33,449
PSX,104.69,77,25,18,16,450
GBX,104.68,77,15,17,91,451
GDV,104.68,77,72,61,72,452
EDD,104.67,77,79,83,47,453
MCHI,104.64,76,83,91,67,454
ENIC,104.64,76,91,89,62,455
MKL,104.63,76,79,88,81,456
EGGY,104.59,76,72,34,33,457
EWUS,104.58,76,80,70,26,458
MTUM,104.57,76,85,58,79,459
