Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
PED,564.26,99,99,9,1,1
MDGL,496.11,99,99,99,99,2
LX,459.79,99,99,99,99,3
VKTX,408.39,99,99,98,99,4
PAYS,380.54,99,99,99,98,5
ARWR,371.96,99,99,99,99,6
FCUV,369.46,99,99,91,96,7
CELZ,339.17,99,99,99,0,8
EGAN,331.1,99,99,99,99,9
CDNA,322.05,99,99,99,99,10
SMLR,314.92,99,99,99,98,11
BLFS,311.74,99,99,99,96,12
CENN,309.73,99,99,13,11,13
EGY,296.81,99,99,97,11,14
RFIL,296.45,99,99,99,97,15
ENPH,285.49,99,99,99,98,16
AVTX,269.4,99,99,99,99,17
INTZ,266.7,99,99,99,99,18
VNCE,264.5,99,99,97,97,19
CASI,255.49,99,99,99,99,20
KEN,254.94,99,99,99,98,21
FOSL,249.9,99,99,97,35,22
NOG,244.34,99,99,92,79,23
OLB,242.5,99,99,99,95,24
VICR,242.35,99,98,98,28,25
VERB,241.65,99,99,99,99,26
MRKR,237.99,99,99,11,70,27
TKO,237.17,99,99,97,96,28
RGNX,237.13,99,99,97,86,29
XENE,236.27,99,99,98,66,30
MED,233.5,99,99,99,90,31
ADD,233.15,99,99,38,96,32
VRME,231.81,99,97,99,99,33
SSTI,231.68,99,98,98,70,34
STAA,231.59,99,99,97,91,35
ABUS,231.04,99,97,93,94,36
ODV,229.64,99,7,7,2,37
EP,224.23,99,97,96,98,38
CCRD,218.45,99,98,90,58,39
LIQT,218.05,99,97,69,75,40
ARGX,216.34,99,99,99,99,41
NTRA,215.4,99,98,89,18,42
AXON,214.14,99,98,97,63,43
OPRX,212.59,99,99,98,87,44
RCKT,212.49,99,98,98,99,45
LFVN,211.86,99,97,15,13,46
CVNA,208.98,99,99,96,94,47
BXC,204.85,99,99,99,98,48
FNKO,203.86,99,98,89,32,49
SIEB,201.06,99,98,98,99,50
ETSY,196.26,99,98,98,92,51
CSBR,194.68,99,98,94,77,52
GOOS,194.17,99,99,96,96,53
SRPT,193.41,98,99,98,95,54
RUN,191.81,98,98,97,15,55
VSTM,190.23,98,98,92,94,56
ASTH,189.57,98,98,95,99,57
UAMY,188.47,98,95,5,19,58
LRMR,187.85,98,98,95,98,59
PAMT,185.66,98,97,96,97,60
CERS,185.64,98,98,96,85,61
