Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
CELZ,585.2,99,99,99,0,1
BITF,579.9,99,99,99,93,2
DAC,570.54,99,99,99,98,3
FNGR,563.56,99,99,99,99,4
MVIS,557.48,99,99,99,99,5
BNGO,555.02,99,99,99,10,6
RVYL,551.93,99,99,99,99,7
KOSS,548.37,99,99,99,88,8
BGFV,513.08,99,99,98,99,9
PMTS,511.1,99,99,98,98,10
INCR,477.92,99,99,67,19,11
AIFF,466.93,99,99,99,99,12
BLNK,464.98,99,99,99,99,13
UGRO,431.17,99,99,99,87,14
GWAV,431.1,99,99,99,31,15
SLNH,428.57,99,99,99,95,16
MNMD,427.21,99,97,99,99,17
UAN,426.4,99,99,95,8,18
RCON,406.5,99,99,83,21,19
GSM,405.63,99,99,98,96,20
MCVT,404.07,99,99,99,75,21
DXLG,400.35,99,99,88,13,22
AMTX,399.91,99,99,99,96,23
HIVE,386.28,99,99,99,98,24
ZDGE,375.52,99,99,99,98,25
TTI,374.04,99,99,98,91,26
PLL,372.32,99,99,99,99,27
ENFY,368.39,99,99,87,21,28
VANI,365.75,99,99,89,30,29
JILL,363.48,99,97,80,88,30
RIOT,363.16,99,99,99,99,31
CMBM,362.27,99,99,98,99,32
GLSI,355.76,99,99,99,20,33
SISI,352.84,99,93,37,7,34
HOV,345.39,99,99,96,98,35
ESEA,345.18,99,98,94,56,36
PLBY,338.62,99,99,60,14,37
SM,328.12,99,99,98,97,38
UONEK,327.05,99,73,79,73,39
EU,326.38,99,98,98,97,40
STKS,325.02,99,99,94,93,41
MOGO,321.87,99,99,98,91,42
NOTV,318.73,99,97,95,83,43
RETL,314.7,99,99,98,99,44
EPIX,313.34,99,98,98,58,45
NMM,311.75,99,98,95,57,46
SNDA,311.43,99,98,96,74,47
PSHG,310.54,99,99,99,99,48
LRMR,309.88,99,98,99,99,49
XXII,309.57,99,98,98,95,50
PR,306.14,99,99,99,97,51
IMCC,302.99,99,99,99,94,52
GTBP,299.32,99,96,77,14,53
IHT,298.6,99,74,94,94,54
ERNA,297.93,99,98,92,64,55
ANVS,293.66,99,98,98,76,56
TGLS,292.55,99,95,69,71,57
FUTU,292.19,99,99,99,98,58
BXC,292.11,99,99,97,98,59
VUZI,289.0,99,99,99,95,60
KOPN,288.92,99,99,99,96,61
CTRN,284.61,99,99,98,97,62
GEVO,283.25,99,99,99,90,63
POLA,282.73,99,97,99,98,64
BTBT,280.84,99,98,99,99,65
