Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
IVT,555.94,99,98,99,99,1
HPKEW,538.91,99,99,99,99,2
AMR,509.07,99,99,99,99,3
RCMT,401.84,99,99,96,98,4
HUDI,388.86,99,99,99,99,5
BTCT,377.39,99,2,1,0,6
HYMCL,363.2,99,99,0,0,7
BPT,352.87,99,99,99,92,8
LABD,340.36,99,96,99,14,9
INDO,326.62,99,99,73,6,10
BOIL,321.5,99,99,32,95,11
HDSN,316.32,99,99,97,98,12
WEBS,297.63,99,97,98,4,13
DTST,291.35,99,99,99,99,14
FRGE,284.22,99,98,67,29,15
SQFTP,283.93,99,99,99,99,16
NTRBW,262.18,99,99,99,93,17
EP,260.67,99,99,99,99,18
KGEI,259.83,99,99,42,93,19
LXU,259.77,99,99,99,99,20
LNTH,253.3,99,99,93,93,21
CNR,251.33,99,99,99,98,22
TRVI,250.73,99,99,1,1,23
BORR,249.67,99,99,91,94,24
SARK,246.29,99,97,98,41,25
HPK,245.48,99,98,99,95,26
CRK,243.25,99,99,87,95,27
NEXT,242.53,99,99,19,95,28
SMHI,241.89,99,98,60,92,29
OBE,240.99,99,99,99,99,30
AR,239.8,99,99,98,98,31
HUSA,239.25,99,99,17,49,32
SD,233.73,99,99,98,99,33
EXEEL,233.19,99,99,98,94,34
MTR,231.11,99,98,97,62,35
UNL,230.55,99,98,96,92,36
CPSS,230.27,99,99,99,97,37
NRT,229.93,99,99,99,96,38
PBF,227.32,99,98,98,91,39
TH,225.97,99,98,39,96,40
BTE,224.0,99,99,99,99,41
EXEEZ,223.79,99,99,98,93,42
UNG,221.19,99,98,87,91,43
BTU,218.32,99,99,99,99,44
ARLP,217.09,99,98,99,95,45
OXY,216.79,99,99,98,93,46
KOS,216.2,99,99,98,95,47
DJT,213.88,99,99,99,99,48
UCO,213.52,99,99,99,97,49
UAN,209.97,99,99,99,99,50
EQT,209.91,99,99,90,83,51
GTE,209.61,99,99,99,97,52
OILU,208.88,99,99,98,13,53
PBT,207.98,99,98,99,98,54
VALU,207.88,99,99,99,89,55
ASC,207.64,99,97,46,66,56
EXEEW,206.06,99,99,98,94,57
VET,204.89,99,99,99,97,58
BERZ,203.47,99,91,96,4,59
NINE,202.23,99,98,11,11,60
PPIH,200.57,99,93,94,83,61
DVN,200.46,99,98,99,98,62
CVE,199.65,99,98,99,97,63
FNGD,198.43,99,88,87,1,64
ERX,198.34,99,99,99,95,65
SJT,198.16,99,98,93,96,66
NRP,198.06,99,98,99,94,67
GLNG,197.8,99,99,93,82,68
SGML,197.22,99,99,99,98,69
LWLG,196.26,99,99,99,99,70
PDS,196.09,99,99,99,93,71
HNRG,195.66,99,97,96,91,72
NC,195.41,99,98,85,83,73
AMPY,195.03,99,98,97,85,74
CLEU,195.02,99,17,2,4,75
SANG,194.76,99,99,99,99,76
VAL,194.71,98,98,98,94,77
DIG,193.57,98,99,99,95,78
CPHC,193.16,98,95,97,73,79
CAR,193.14,98,99,99,99,80
PECO,191.83,98,99,99,99,81
SRTS,191.62,98,98,99,95,82
BTCS,191.18,98,99,99,99,83
EDZ,191.07,98,95,91,14,84
PVL,190.92,98,96,93,96,85
VYGR,190.56,98,99,41,10,86
EGY,189.73,98,99,99,96,87
CVI,188.08,98,95,94,62,88
IPI,187.91,98,99,95,97,89
VIST,187.38,98,99,99,97,90
BGI,186.58,98,99,99,95,91
GUSH,185.82,98,99,97,98,92
RRC,185.07,98,99,96,98,93
STNG,184.34,98,96,38,55,94
TZA,184.3,98,88,94,3,95
EDRY,184.14,98,98,98,96,96
SRTY,183.26,98,88,94,3,97
RES,182.63,98,99,99,70,98
SND,182.39,98,99,38,16,99
BIS,182.36,98,89,97,21,100
CRDB,182.31,98,99,95,93,101
DOGZ,181.39,98,99,97,97,102
UGA,180.51,98,96,97,92,103
UONE,180.3,98,96,34,15,104
SCC,179.6,98,89,87,9,105
TWI,179.36,98,97,96,59,106
REI,178.18,98,96,94,98,107
HYMC,177.62,98,99,0,0,108
CF,176.86,98,99,97,93,109
TDW,176.2,98,98,91,63,110
PTEN,175.73,98,99,99,88,111
GCBC,175.7,98,98,97,83,112
MXC,175.67,98,98,90,93,113
FLNG,175.6,98,98,98,98,114
MARPS,174.08,98,98,62,43,115
TALO,173.79,98,97,90,56,116
MOS,173.74,98,99,96,86,117
NAAS,172.93,98,93,5,0,118
WEAT,172.78,98,98,86,79,119
SBR,172.01,98,97,95,84,120
SLVM,171.57,98,95,97,87,121
CTRA,171.17,98,97,95,84,122
VLO,170.7,98,95,95,72,123
DBE,170.6,98,97,96,90,124
VHI,170.05,98,88,87,87,125
APA,169.65,98,98,98,96,126
HCC,169.63,98,98,98,68,127
RGC,169.52,98,94,99,98,128
VOC,169.25,98,98,98,93,129
NFE,169.13,98,96,16,9,130
TTT,168.22,98,96,86,20,131
TSEM,168.14,98,97,84,88,132
METC,168.08,98,99,99,98,133
NSYS,167.9,98,83,93,90,134
AMPH,167.76,98,99,96,61,135
TMV,167.15,98,96,85,19,136
HSON,166.87,98,98,98,97,137
IRTC,166.77,98,98,98,93,138
ARL,166.36,98,97,96,65,139
DDS,166.27,98,98,98,99,140
BNO,165.4,98,97,97,91,141
MCK,164.91,98,97,97,74,142
MUSA,164.69,98,95,93,83,143
FGBI,164.69,98,93,92,83,144
PXE,164.67,98,97,97,94,145
EEV,164.07,98,93,88,17,146
USO,163.3,98,97,97,90,147
SU,163.25,98,95,97,90,148
FMAO,163.13,98,95,97,71,149
HP,162.76,98,98,91,84,150
UONEK,162.62,98,98,95,95,151
EXE,162.41,97,97,95,87,152
SQQQ,162.25,97,80,68,2,153
CNQ,161.72,97,98,98,92,154
NTR,161.29,97,98,92,81,155
TWM,160.95,97,87,92,6,156
CLMT,160.49,97,95,99,99,157
WFRD,159.98,97,99,99,99,158
COP,159.5,97,97,98,92,159
