Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
MNPR,584.5,99,99,99,99,1
QUBT,539.15,99,99,99,95,2
PTIR,533.26,99,99,99,97,3
AREN,529.15,99,98,95,6,4
ABTS,523.67,99,99,8,9,5
ATGL,505.37,99,99,99,98,6
RGTI,490.41,99,99,99,76,7
LIDRW,454.86,99,99,99,45,8
MVST,440.31,99,98,99,1,9
QBTS,428.88,99,99,99,48,10
TOI,416.37,99,99,97,1,11
CTM,393.44,99,99,99,7,12
WGS,386.6,99,99,99,99,13
OCG,366.12,99,99,20,26,14
IDAI,365.2,99,99,99,1,15
DVS,364.53,99,70,23,93,16
RETO,357.3,99,99,5,6,17
DATSW,356.6,99,99,99,50,18
AMBR,347.67,99,99,99,94,19
PSIX,337.27,99,99,99,99,20
GRRR,332.82,99,99,99,59,21
MFH,330.8,99,99,99,11,22
CEP,325.92,99,77,41,26,23
XCUR,324.11,99,99,99,48,24
CLEU,321.11,99,99,4,2,25
TDUP,318.98,99,98,97,3,26
ASTS,315.9,99,99,99,99,27
KC,314.94,99,99,99,21,28
XTKG,312.45,99,99,99,0,29
PLTR,302.24,99,99,99,97,30
MNDR,295.65,99,99,1,0,31
AZ,295.58,99,99,99,99,32
CPIX,293.61,99,99,94,6,33
GITS,290.77,99,99,99,3,34
HSAI,290.31,99,99,99,23,35
XGN,288.8,99,95,97,90,36
LX,286.4,99,99,99,97,37
UBXG,284.64,99,98,99,0,38
LAES,282.41,99,99,99,2,39
TSSI,279.67,99,99,99,99,40
GMM,278.29,99,99,99,1,41
RKLB,277.32,99,99,99,99,42
QSG,274.59,99,98,16,93,43
ALMU,271.79,99,98,98,37,44
CNL,268.14,99,99,95,91,45
KNW,261.46,99,99,1,6,46
OCFT,260.12,99,99,94,91,47
KULR,259.41,99,99,99,57,48
VRNA,259.02,99,99,98,98,49
XYF,258.06,99,99,96,96,50
TMC,257.49,99,96,92,14,51
VVPR,256.91,99,99,15,2,52
PRCH,255.55,99,99,96,94,53
UMAC,255.07,99,99,99,16,54
RGLS,253.35,99,46,6,20,55
INOD,250.75,99,99,99,98,56
LNSR,248.58,99,99,98,95,57
PDEX,248.11,99,98,95,97,58
KINS,242.28,99,99,99,99,59
ROOT,240.8,99,99,99,99,60
TMQ,239.01,99,99,98,86,61
PRTG,238.96,99,97,12,27,62
AGFY,237.65,99,99,99,4,63
DOYU,237.58,99,99,98,98,64
PDYN,235.04,99,99,99,98,65
DOMH,234.77,99,99,96,15,66
MEGL,232.32,99,99,22,10,67
UPXI,229.33,99,3,2,29,68
RPID,229.11,99,99,97,84,69
MBOT,224.18,99,96,96,15,70
APP,223.28,99,98,99,99,71
ORLA,221.96,99,98,93,89,72
PNBK,221.34,99,7,9,4,73
PULM,217.68,98,99,99,48,74
GDC,215.93,98,97,70,39,75
