Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
PSHG,574.86,99,12,9,36,1
MCRB,526.19,99,99,99,94,2
VVPR,495.6,99,99,97,29,3
PRPH,492.71,99,99,94,48,4
RVYL,475.86,99,99,95,51,5
BTBT,474.29,99,99,99,98,6
CBAT,473.09,99,99,90,34,7
CLDX,460.0,99,99,99,72,8
VXRT,426.99,99,99,99,99,9
APPS,423.11,99,99,99,64,10
GMGI,410.14,99,99,99,99,11
BYRN,393.0,99,99,99,99,12
NTZ,392.13,99,98,90,2,13
CODX,385.66,99,99,99,99,14
FVRR,385.13,99,99,99,98,15
AIFF,375.33,99,99,94,50,16
BYON,371.66,99,99,99,96,17
FKWL,370.51,99,99,99,99,18
ZM,360.87,99,99,97,98,19
AMTX,357.34,99,99,99,49,20
JKS,355.9,99,98,80,32,21
MRSN,354.7,99,99,99,99,22
WKHS,354.66,99,99,99,75,23
BTAI,351.55,99,98,99,99,24
LFMD,351.36,99,99,99,98,25
PLUG,341.91,99,99,99,91,26
GRWG,340.27,99,99,94,89,27
ALT,334.6,99,99,99,99,28
ZTEK,329.27,99,94,82,26,29
EXPI,328.9,99,99,99,45,30
IBIO,325.81,99,98,99,99,31
DQ,319.4,99,98,98,85,32
SAVA,315.03,99,99,86,94,33
PRTS,314.7,99,99,99,99,34
COHN,312.91,99,99,99,20,35
SITM,311.27,99,99,99,97,36
PLL,305.04,99,99,7,48,37
CELH,304.67,99,99,99,96,38
KXIN,303.35,99,1,14,9,39
PTON,303.35,99,98,96,97,40
BLNK,303.31,99,99,99,17,41
SRRK,301.4,99,63,51,95,42
AWH,299.98,99,99,99,99,43
SCWO,292.57,99,99,97,97,44
SE,289.63,99,99,98,98,45
ELVA,286.95,99,99,98,62,46
PACB,286.22,99,99,84,23,47
FRGT,284.48,99,2,6,3,48
AEYE,281.1,99,98,97,96,49
BGFV,277.95,99,99,99,6,50
PMTS,274.7,99,94,97,13,51
ENPH,274.51,99,98,96,99,52
TSLA,274.4,99,99,99,99,53
BRAG,270.54,99,96,94,95,54
SOBR,268.52,99,98,99,99,55
BWMX,265.82,99,97,94,32,56
OMI,265.57,99,99,98,95,57
GRVY,263.16,99,98,97,89,58
ARCT,261.3,99,98,98,99,59
