Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
YI,587.4,99,99,99,2,1
SBET,555.08,99,96,3,4,2
PTHL,531.01,99,99,17,18,3
PTIR,515.55,99,99,99,99,4
HYPD,494.43,99,7,0,0,5
SY,448.61,99,73,26,17,6
NEON,447.92,99,99,99,99,7
GSRTR,447.67,99,99,88,86,8
SEZL,437.34,99,99,99,99,9
NXTT,435.62,99,97,0,91,10
SONN,431.83,99,3,5,0,11
GRYP,408.36,99,99,1,2,12
PRCH,402.4,99,99,99,98,13
HAO,387.39,99,99,99,1,14
OKLO,381.04,99,99,98,98,15
NEGG,373.88,99,57,2,5,16
NAK,367.02,99,99,99,97,17
PSIX,333.19,99,99,99,99,18
HOVR,316.77,99,99,14,92,19
BTM,313.67,99,99,29,21,20
BLBX,306.23,99,97,97,5,21
BKSY,302.98,99,92,24,94,22
OUST,302.85,99,98,18,88,23
BBAI,302.27,99,97,91,99,24
OCG,301.43,99,99,99,22,25
NWTN,301.33,99,99,5,6,26
GRRR,287.28,99,99,99,99,27
BTCS,281.43,99,91,29,98,28
GNS,278.66,99,11,2,3,29
FIEE,277.83,99,99,93,0,30
HOOD,274.62,99,99,97,99,31
SGMT,271.01,99,98,6,18,32
HSAI,267.16,99,99,98,99,33
SOGP,264.83,99,14,59,11,34
OMEX,260.47,99,97,18,4,35
PROK,259.84,99,4,4,26,36
SMR,255.19,99,99,95,99,37
PLTR,253.33,99,99,99,99,38
NVFY,248.6,99,98,15,1,39
PAYS,246.03,99,96,10,10,40
PLTU,244.11,98,98,95,24,41
ONEG,244.07,98,96,17,14,42
YSG,243.13,98,98,91,23,43
SPRO,240.73,98,99,15,7,44
NAGE,235.13,98,99,98,98,45
NVTS,234.68,98,99,7,47,46
PRPO,233.3,98,96,34,66,47
PDYN,224.2,98,99,99,99,48
OKYO,217.95,98,99,49,12,49
FTEK,217.91,98,97,50,23,50
OCFT,217.16,98,99,99,88,51
PL,216.58,98,98,94,98,52
NBIS,214.34,98,98,29,97,53
GSIW,213.74,98,97,2,0,54
YYGH,212.96,98,92,23,89,55
PGY,211.66,98,96,37,11,56
SGHC,210.0,98,98,98,96,57
SQNS,209.98,98,17,72,95,58
PCTTU,209.46,98,90,19,96,59
OSS,207.82,98,95,16,96,60
SLDP,206.59,98,94,13,50,61
GRPN,202.85,98,99,98,21,62
ONDS,202.74,98,98,19,97,63
NTRBW,201.51,98,90,97,97,64
PTHS,199.02,98,80,94,98,65
GRNQ,198.27,98,97,24,68,66
GMM,198.26,98,97,99,99,67
OMH,197.62,98,98,99,7,68
PRZO,197.05,98,98,12,99,69
PMEC,196.66,98,95,96,21,70
BTCM,194.7,98,19,8,32,71
OWLT,192.79,98,96,22,17,72
SOFI,192.64,98,95,81,98,73
NB,192.43,98,96,99,10,74
