Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
FNGR,551.07,99,99,99,1,1
VXRT,539.34,99,99,99,99,2
CODX,489.7,99,99,99,99,3
BYRN,485.29,99,99,99,98,4
LFMD,468.63,99,99,99,98,5
BYON,463.51,99,99,99,88,6
SCWO,459.42,99,98,98,98,7
WKHS,449.82,99,99,99,96,8
CBAT,444.62,99,87,91,22,9
GMGI,443.09,99,99,98,98,10
EXPI,442.1,99,99,97,49,11
APPS,425.99,99,99,97,86,12
ZM,421.49,99,99,98,98,13
AMTX,420.84,99,98,72,19,14
FVRR,417.58,99,99,98,96,15
BTBT,414.47,99,99,98,99,16
TOMZ,410.37,99,99,99,99,17
CLDX,403.08,99,99,99,66,18
FKWL,377.34,99,99,99,98,19
BGFV,372.94,99,99,98,7,20
PLL,367.98,99,95,71,26,21
PRPH,366.32,99,97,30,60,22
NTZ,360.94,99,90,80,2,23
AIFF,350.12,99,99,31,74,24
PRTS,349.64,99,99,99,99,25
SITM,343.47,99,98,99,95,26
JKS,339.98,99,88,81,46,27
APCX,336.85,99,99,96,80,28
COHN,334.19,99,99,98,75,29
KODK,330.87,99,99,15,42,30
GORV,327.79,99,98,99,17,31
TSLA,327.1,99,99,99,99,32
MVIS,325.71,99,99,99,2,33
RVP,324.89,99,99,99,99,34
PTON,317.78,99,98,97,91,35
CELH,317.11,99,99,99,86,36
SAVA,314.39,99,99,85,99,37
ALT,312.68,99,99,99,97,38
SCNI,312.43,99,99,99,97,39
BLNK,310.07,99,99,99,30,40
AWH,306.88,99,98,99,98,41
RVYL,306.0,99,98,93,88,42
GOGO,305.66,99,98,80,2,43
OPTT,304.09,99,83,84,2,44
ELVA,303.26,99,99,98,47,45
SBEV,302.99,99,99,58,12,46
PACB,298.0,99,96,29,17,47
MRSN,296.21,99,99,99,99,48
DQ,295.96,99,96,98,88,49
GRWG,295.34,99,98,95,92,50
PLUG,291.52,99,99,98,97,51
BTAI,286.07,99,98,99,99,52
GOTU,285.02,99,99,99,99,53
SE,284.56,99,98,98,97,54
SLNH,283.49,99,96,18,40,55
NFE,278.6,99,98,90,51,56
FBRX,277.5,99,99,89,95,57
UAVS,277.25,99,99,99,99,58
RUN,275.68,99,99,98,44,59
FNGA,272.46,99,98,98,89,60
PENN,272.04,99,99,96,22,61
ARCT,269.47,98,98,99,99,62
GRVY,269.21,98,99,92,79,63
LAR,266.17,98,98,94,51,64
EVOK,265.29,98,99,98,94,65
GNPX,264.74,98,99,99,99,66
OBLG,262.57,98,90,99,49,67
OMI,262.33,98,97,98,98,68
IPA,261.03,98,98,96,93,69
ENPH,260.11,98,96,97,99,70
CLSK,259.93,98,99,94,1,71
SOL,259.64,98,96,85,35,72
WWR,259.42,98,11,81,11,73
STKL,258.56,98,98,97,86,74
EVGN,257.09,98,98,17,23,75
NIU,256.66,98,96,98,86,76
GME,256.45,98,96,18,91,77
TWST,256.0,98,97,97,94,78
EFOI,255.71,98,98,98,13,79
AEYE,253.27,98,98,98,96,80
RNTX,251.58,98,96,95,50,81
OTRK,244.57,98,99,95,98,82
AMRK,243.83,98,98,97,97,83
TRUP,243.79,98,96,95,90,84
RZLT,243.16,98,99,98,22,85
BWMX,242.97,98,97,31,63,86
SOBR,242.31,98,97,99,99,87
PRPL,240.23,98,97,97,97,88
RMBL,238.74,98,98,97,1,89
BE,238.74,98,98,98,92,90
BNTX,237.83,98,96,99,99,91
BXC,237.14,98,95,91,2,92
MARA,235.91,98,97,83,2,93
SEDG,235.65,98,95,96,97,94
IBIO,234.2,98,99,99,99,95
IZEA,233.81,98,98,99,11,96
IBRX,233.12,98,98,99,98,97
CMBM,232.19,98,97,95,21,98
LITB,232.1,98,96,78,22,99
SCNX,230.23,98,96,99,99,100
FSLY,229.92,98,98,99,75,101
WKSP,229.85,98,99,25,97,102
