Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
AEVA,589.51,99,99,99,83,1
AMPGW,579.66,99,99,99,99,2
HYPD,489.65,99,78,0,0,3
AREN,470.24,99,99,99,90,4
ABVC,411.44,99,98,96,7,5
ARTL,396.63,99,38,17,25,6
ARQQ,379.27,99,97,98,98,7
AZ,334.26,99,99,99,99,8
ALMU,316.8,99,99,97,98,9
AGFY,311.44,99,99,99,99,10
AMPX,303.75,99,98,94,97,11
HAO,301.1,99,99,99,2,12
HOVR,300.46,99,96,16,90,13
ADUR,288.58,98,98,98,98,14
ASM,287.53,98,99,99,85,15
HOOD,280.02,98,98,97,98,16
ATGL,271.5,98,99,99,99,17
AKBA,247.95,98,98,86,90,18
ABVE,242.55,98,96,18,4,19
HSAI,241.75,98,98,98,99,20
ALLT,233.02,98,98,97,98,21
AMLX,232.39,98,97,94,52,22
ALTS,232.3,98,99,94,99,23
ARQQW,219.34,98,38,67,37,24
AMBR,206.86,98,99,99,99,25
APPS,201.55,97,98,95,7,26
ATYR,201.02,97,97,94,95,27
ACOG,196.88,97,96,25,60,28
ASTS,195.03,97,96,99,99,29
HTZ,185.92,97,96,65,28,30
ANTE,184.85,97,95,46,14,31
ATAI,182.98,97,95,38,36,32
HIMS,182.55,97,98,95,96,33
ADPT,182.34,97,97,98,95,34
AP,181.57,97,97,85,79,35
AGEN,181.18,97,96,4,3,36
AAOI,180.89,97,47,22,97,37
APP,180.58,96,98,98,99,38
HRTG,179.44,96,97,98,87,39
AS,178.3,96,97,92,97,40
HUHU,174.62,96,84,28,75,41
ACHR,174.29,96,98,96,97,42
WLDN,174.25,96,94,89,86,43
WKEY,169.64,96,99,95,99,44
ASPI,169.1,96,98,97,96,45
APYX,167.33,96,93,18,50,46
ASPS,166.48,96,64,28,3,47
AMPG,164.98,96,97,49,95,48
AGX,164.94,96,97,98,98,49
ADCT,162.79,96,95,8,6,50
AKRO,159.55,95,96,96,20,51
ATHE,159.49,95,97,96,96,52
ALNT,159.41,95,94,36,57,53
AVGX,157.45,95,95,20,93,54
AMSC,156.17,95,96,33,94,55
AREC,153.23,95,89,11,9,56
AVL,151.13,95,91,16,90,57
