Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
ZVIA,159.55,95,95,94,98,171
YALA,159.4,95,97,37,23,172
IMNN,159.34,95,28,39,14,173
IHS,158.84,95,96,80,37,174
QMCO,158.83,95,92,96,99,175
VZLA,158.43,95,88,86,66,176
SPOT,158.24,95,95,93,92,177
SLNO,158.2,95,95,42,43,178
ARMN,158.09,95,94,57,36,179
XPEV,157.7,95,97,98,85,180
CMCL,157.45,95,91,55,22,181
CRMD,156.98,95,96,97,95,182
LASR,156.9,95,20,26,24,183
VST,156.35,95,92,84,97,184
IRTC,156.18,95,95,82,26,185
PSNL,156.18,95,87,94,94,186
TLN,156.11,95,95,87,96,187
OUST,155.94,95,36,60,89,188
TMQ,155.52,95,99,98,96,189
ESP,154.77,95,84,64,77,190
AVGO,154.66,95,84,88,79,191
HWM,154.52,95,95,92,88,192
BGM,154.18,95,97,98,97,193
SRAD,153.87,95,97,96,89,194
DOUG,153.73,95,56,50,68,195
ATAI,153.68,95,32,44,59,196
KFS,153.57,95,72,34,38,197
WGS,153.48,95,96,99,99,198
FTEK,153.42,95,45,41,31,199
LINC,153.27,95,92,90,87,200
KTOS,153.26,95,95,91,77,201
KGC,153.25,95,96,92,83,202
CTRN,152.87,95,77,52,69,203
WLDN,152.57,94,77,89,86,204
PLMR,152.37,94,96,93,79,205
EVLV,152.29,94,87,29,68,206
TIGR,151.93,94,97,94,94,207
ASA,151.77,94,94,92,69,208
NYAX,151.7,94,91,91,62,209
DRD,151.62,94,95,95,66,210
BTCS,151.62,94,50,51,98,211
CORT,151.25,94,96,95,95,212
GWRE,151.19,94,90,72,76,213
CRS,151.17,94,93,94,95,214
VGZ,150.79,94,96,89,66,215
GFI,150.16,94,93,93,34,216
SSSS,150.05,94,81,73,89,217
BROS,149.97,94,95,95,90,218
CDE,149.22,94,54,54,91,219
GMM,148.93,94,99,98,98,220
CHWY,148.92,94,95,90,77,221
NFLX,148.81,94,95,85,88,222
FULC,148.77,94,80,5,2,223
BTSG,148.72,94,93,88,89,224
DRS,148.65,94,94,77,85,225
CORZ,148.61,94,83,48,98,226
TPC,148.61,94,74,89,93,227
ATGE,148.59,94,92,91,83,228
TRVG,148.24,94,98,97,51,229
XMTR,148.2,94,94,79,94,230
TPB,148.14,94,94,94,95,231
ALAB,147.75,94,54,41,97,232
CTGO,147.62,94,55,7,3,233
MPAA,147.6,94,96,95,71,234
NTGR,147.45,94,95,89,90,235
KINS,147.35,94,98,98,99,236
PGY,147.08,94,69,24,10,237
BNTC,146.77,94,93,96,96,238
AGEN,146.21,94,12,3,1,239
AHR,146.01,94,96,95,93,240
DCTH,146.01,94,86,96,96,241
SLSR,145.68,94,94,77,62,242
FEIM,145.47,94,92,89,67,243
HMY,144.96,93,96,92,63,244
PRA,144.63,93,96,66,77,245
MRX,144.63,93,97,92,86,246
BTDR,144.44,93,87,83,98,247
STRL,144.31,93,92,28,93,248
VFF,144.03,93,21,26,18,249
