Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
VBIX,537.28,99,99,99,99,1
GSRTR,462.55,99,99,92,87,2
GRYP,446.13,99,99,1,2,3
HYPD,430.29,99,90,0,0,4
KLTO,399.71,99,99,1,1,5
VIGL,349.06,99,99,11,3,6
OKLO,330.58,99,99,99,99,7
GRRR,320.5,99,99,99,99,8
HOVR,315.52,99,97,12,95,9
OCG,311.22,99,99,99,45,10
VOR,297.35,99,0,8,91,11
GNS,283.96,99,12,1,2,12
HOOD,277.94,99,98,98,98,13
VRNA,269.02,99,99,99,98,14
OUST,262.91,99,98,19,92,15
HAO,260.96,99,98,99,1,16
VVPR,259.31,99,99,99,11,17
ONEG,256.63,99,92,10,30,18
HSAI,243.25,99,99,99,99,19
GAME,241.32,99,71,12,11,20
GRPN,233.78,98,99,98,26,21
FTEK,231.97,98,98,44,22,22
VERV,230.03,98,53,8,10,23
OKYO,227.54,98,97,34,12,24
FMST,225.58,98,99,2,3,25
KUKE,217.72,98,99,99,2,26
OPFI,215.05,98,99,98,99,27
OWLT,212.8,98,93,19,44,28
GRAL,209.36,98,98,98,88,29
OCFT,209.28,98,99,99,86,30
FTK,206.65,98,99,93,98,31
VVOS,201.95,98,7,17,97,32
OMEX,196.93,98,97,2,3,33
HIMS,193.2,98,98,97,97,34
GSIW,192.92,98,95,4,0,35
OMH,189.68,98,99,99,4,36
FULC,188.85,98,97,8,10,37
GOGO,186.32,98,95,46,20,38
KC,185.98,98,99,99,99,39
FOA,181.71,98,97,99,99,40
FARO,180.85,97,98,94,95,41
OPRT,179.63,97,97,98,93,42
ONDS,179.47,97,98,15,98,43
VFF,179.03,97,95,9,8,44
GMM,177.67,97,97,99,99,45
GEV,176.83,97,98,97,98,46
GORO,176.34,97,97,94,8,47
HRTG,173.16,97,98,98,92,48
VHC,171.48,97,97,96,88,49
FSI,171.45,97,90,97,94,50
KORU,170.34,97,93,10,4,51
KOPN,169.25,97,96,21,76,52
HTZ,168.81,97,97,77,13,53
GRNQ,168.14,97,91,18,20,54
HUHU,167.48,97,77,20,78,55
ORLA,167.22,97,98,99,93,56
OPXS,165.44,97,93,21,15,57
ODD,162.73,97,97,74,75,58
KEP,160.61,97,95,87,23,59
KFS,159.56,97,97,59,25,60
OPRX,158.71,96,99,93,3,61
HOTH,158.04,96,81,15,96,62
OLO,157.89,96,96,90,96,63
GDS,156.5,96,94,97,98,64
HIBL,156.35,96,67,5,28,65
GDXU,155.52,96,98,98,12,66
OCC,154.83,96,38,33,97,67
GHRS,154.24,96,94,57,40,68
FUTU,153.21,96,92,75,83,69
VIOT,153.14,96,63,97,94,70
GROY,152.59,96,95,80,12,71
ORIC,152.14,96,81,7,54,72
FEIM,152.06,96,95,97,96,73
OPOF,151.83,96,97,99,94,74
HWM,151.83,96,97,97,96,75
KTOS,151.64,96,96,97,95,76
FLYU,151.09,96,84,7,89,77
GHM,150.69,96,95,33,96,78
OSS,150.16,96,93,19,89,79
VNET,149.23,95,95,99,98,80
GDC,148.81,95,93,98,88,81
VST,148.49,95,97,65,99,82
FIVE,146.05,95,94,10,13,83
FUBO,145.92,95,97,97,99,84
FBRX,145.69,95,94,7,97,85
FENC,145.62,95,93,24,17,86
ONCY,145.26,95,3,7,8,87
VTYX,144.99,95,92,4,8,88
GSIT,143.26,95,90,21,16,89
FWRD,143.26,95,16,6,64,90
FORTY,142.73,95,92,87,86,91
FLEX,142.47,95,92,30,92,92
FORD,142.45,95,96,74,87,93
ORCL,142.25,95,89,38,82,94
KOD,142.11,95,87,7,99,95
OPTT,141.69,95,98,94,99,96
OMAB,141.35,95,96,90,76,97
GEOS,140.14,95,10,10,17,98
GH,140.05,95,95,98,97,99
VZLA,139.73,94,98,88,82,100
FTCI,137.58,94,96,9,16,101
OM,137.47,94,98,9,7,102
FNGO,137.26,94,94,26,93,103
KZIA,137.1,94,6,1,1,104
FNGG,137.07,94,94,24,92,105
VSAT,136.72,94,20,17,3,106
GREE,136.36,94,88,2,5,107
VGZ,136.28,94,97,97,45,108
VUZI,136.08,94,98,47,98,109
HNRG,135.88,94,98,98,96,110
KYMR,135.69,94,91,10,53,111
KEN,135.63,94,91,96,93,112
VS,135.6,94,90,94,92,113
VSA,135.24,94,97,4,0,114
ODC,134.86,94,96,94,89,115
FBL,134.39,94,93,23,91,116
KINS,134.25,94,96,99,99,117
GNE,134.02,94,96,59,16,118
KB,134.01,94,94,31,81,119
HODL,133.94,93,95,89,97,120
FBTC,133.74,93,95,89,97,121
GRND,132.79,93,97,96,95,122
FIX,132.76,93,95,38,95,123
KEQU,132.14,93,16,23,96,124
GNLX,132.09,93,18,25,8,125
KALV,131.75,93,91,87,4,126
VRT,131.68,93,91,13,96,127
KD,131.66,93,93,85,96,128
FL,131.4,93,86,9,15,129
VIK,131.36,93,92,88,93,130
HUT,131.14,93,96,27,98,131
GDMN,130.98,93,96,98,77,132
KGC,130.48,93,96,98,92,133
GREK,129.77,93,92,91,54,134
GEVO,129.66,93,89,60,98,135
GBTC,129.44,93,94,83,95,136
KRMD,129.18,93,62,22,97,137
OCUL,128.94,93,84,21,61,138
OSIS,128.5,93,94,95,80,139
FLYE,128.34,92,75,5,3,140
FEDU,128.22,92,25,11,55,141
FINV,127.63,92,93,97,92,142
GTN,127.02,92,22,23,4,143
HIMX,126.45,92,92,39,85,144
OI,126.36,92,81,31,10,145
GBFH,126.34,92,96,95,98,146
OR,126.2,92,94,94,76,147
GFI,126.17,92,96,98,31,148
GTES,125.67,92,85,54,88,149
GE,125.66,92,94,87,85,150
FPH,125.32,92,93,97,80,151
HIPO,125.31,92,86,91,97,152
HWKN,125.28,92,91,88,86,153
GALT,124.88,92,6,18,2,154
HYMC,124.88,92,97,92,11,155
FAS,124.86,92,87,55,92,156
FGM,124.85,92,92,93,41,157
VIRT,124.77,92,93,96,95,158
FDIG,124.43,91,85,22,89,159
OVBC,124.11,91,87,97,52,160
FOSL,124.04,91,60,17,94,161
GS,123.73,91,87,71,90,162
GOEX,123.55,91,95,96,75,163
GMS,123.46,91,26,25,19,164
GILT,123.42,91,51,87,90,165
KAR,123.36,91,90,80,89,166
GF,123.11,91,92,91,20,167
GEL,123.09,91,93,91,13,168
GDXJ,122.94,91,95,96,64,169
GOSS,122.87,91,96,19,16,170
FBIOP,122.84,91,90,17,21,171
HCSG,122.55,91,92,31,73,172
GENI,122.55,91,85,97,94,173
HNNA,122.52,91,84,89,95,174
GRABW,122.33,91,93,95,97,175
FTDR,122.13,91,93,47,94,176
GHLD,122.11,91,67,67,18,177
ORN,122.01,91,92,20,75,178
GOOS,121.96,90,82,15,17,179
KSCP,121.65,90,12,1,34,180
FSS,121.49,90,86,25,79,181
VRSN,121.34,90,94,96,78,182
OSK,121.09,90,71,28,15,183
ONIT,121.09,90,91,80,81,184
KALU,121.03,90,68,15,27,185
KNSA,120.79,90,94,39,14,186
FEUZ,120.77,90,89,86,30,187
OIS,120.64,90,42,14,63,188
GOAU,120.39,90,95,96,53,189
VEEV,120.35,90,91,75,56,190
HBM,120.09,90,90,19,80,191
OBLG,120.04,90,36,11,7,192
FROG,120.04,90,93,39,23,193
VRAR,119.91,90,96,29,98,194
OOTO,119.75,90,71,16,88,195
GSIB,119.73,90,91,90,85,196
GWRE,119.42,90,96,95,88,197
HSBC,119.39,90,91,90,88,198
HAS,119.32,89,69,31,27,199
FRHC,119.28,89,94,96,95,200
FRGE,119.24,89,88,8,2,201
HMY,118.86,89,95,98,76,202
KMDA,118.81,89,86,64,91,203
OCGN,118.67,89,93,12,8,204
HERO,118.33,89,91,90,73,205
ORGO,118.27,89,28,95,20,206
GTX,118.18,89,84,63,69,207
FN,117.97,89,68,24,47,208
HAFC,117.96,89,87,92,90,209
FET,117.72,89,50,25,68,210
OND,117.68,89,90,79,77,211
FOSLL,117.65,89,89,89,84,212
VIV,117.59,89,86,64,13,213
HBCP,117.42,89,88,84,76,214
OPRA,117.28,89,88,63,92,215
OMF,117.1,89,83,40,85,216
FDD,117.02,89,90,91,32,217
FTI,116.94,89,89,27,91,218
GNTY,116.84,88,87,94,71,219
FPX,116.79,88,91,56,85,220
FFIV,116.76,88,92,94,91,221
FLGR,116.72,88,89,91,56,222
FNGR,116.63,88,91,24,2,223
KGEI,116.42,88,95,98,97,224
GAMR,116.27,88,89,71,70,225
FEP,116.21,88,88,86,31,226
OARK,116.03,88,82,26,80,227
KT,115.91,88,89,93,86,228
GDX,115.81,88,93,96,47,229
VEON,115.77,88,95,96,98,230
KARO,115.59,88,96,89,95,231
GDE,115.5,88,91,91,84,232
FTNT,115.47,88,89,95,92,233
FHN,115.45,88,87,72,93,234
FPA,115.37,88,87,66,46,235
ODDS,115.28,88,87,87,83,236
FERG,115.19,88,86,30,16,237
KLAC,115.03,87,88,36,27,238
HLF,114.89,87,19,34,8,239
VC,114.8,87,18,17,13,240
OSW,114.72,87,84,79,89,241
ONC,114.7,87,91,94,82,242
VAPE,114.49,87,30,94,87,243
FSM,114.46,87,94,97,36,244
KF,114.36,87,86,33,16,245
FURY,114.22,87,93,33,13,246
VSEC,114.17,87,92,95,87,247
HEI,114.17,87,88,90,60,248
VNM,114.13,87,63,46,17,249
ODV,114.06,87,92,24,7,250
HGV,114.06,87,57,29,34,251
GSAT,114.05,87,34,31,93,252
HDSN,113.97,87,66,19,5,253
GEO,113.78,87,94,97,99,254
KEMQ,113.49,87,89,84,47,255
OZK,113.29,87,74,38,42,256
KRUS,113.22,87,86,12,53,257
FNGS,113.09,86,90,52,88,258
FINX,113.05,86,84,43,84,259
FLKR,113.05,86,85,32,16,260
HIFS,113.05,86,35,86,81,261
GILD,113.0,86,92,96,86,262
GCAD,112.94,86,90,71,79,263
VNAM,112.72,86,48,40,19,264
FDTS,112.65,86,86,61,28,265
FLR,112.63,86,66,16,70,266
KBWB,112.4,86,82,53,88,267
OCS,112.39,86,93,88,97,268
HDLB,112.33,86,82,91,78,269
KALA,112.3,86,5,8,57,270
HBAN,112.08,86,78,36,87,271
FER,112.05,86,89,90,50,272
FDT,111.91,86,86,74,33,273
FITE,111.85,86,86,62,82,274
OGIG,111.79,86,89,65,83,275
VOD,111.73,86,73,70,27,276
HACK,111.63,86,89,73,80,277
GSL,111.62,85,75,27,40,278
VENU,111.51,85,55,27,18,279
GPI,111.42,85,76,93,93,280
FETH,111.36,85,53,7,62,281
FHI,111.35,85,83,83,79,282
FLUT,111.34,85,84,75,91,283
KULR,111.27,85,98,99,99,284
GGME,111.24,85,84,57,79,285
HSII,111.17,85,72,90,93,286
FPXE,111.16,85,84,52,51,287
GRAB,111.16,85,89,81,90,288
VSTA,110.84,85,95,98,9,289
FBIZ,110.75,85,77,92,84,290
KEY,110.74,85,65,33,83,291
FAI,110.74,85,78,28,44,292
ONB,110.66,85,75,69,89,293
FGD,110.59,85,84,83,40,294
HYFM,110.55,85,10,2,9,295
GVAL,110.47,84,87,90,34,296
KCE,110.47,84,78,49,86,297
FHTX,110.46,84,13,10,6,298
FAST,110.43,84,86,89,69,299
HWC,110.4,84,74,49,87,300
FLEU,110.4,84,84,85,30,301
OPPE,110.39,84,85,82,51,302
HLVX,110.25,84,20,15,8,303
OPY,110.12,84,83,85,94,304
FCCO,110.12,84,78,87,88,305
FMS,110.12,84,90,92,85,306
FUNC,110.1,84,68,88,91,307
GOLF,110.01,84,63,43,83,308
GVA,109.96,84,90,87,94,309
HLI,109.94,84,82,67,87,310
KRKR,109.93,84,90,28,3,311
FOXA,109.91,84,89,95,93,312
FOUR,109.91,84,81,44,91,313
FCAP,109.76,84,92,96,59,314
FRAF,109.62,84,81,95,64,315
FCA,109.44,84,83,61,41,316
GXO,109.43,83,26,17,9,317
ORA,109.33,83,61,68,21,318
GT,109.08,83,89,42,15,319
FWONK,109.05,83,87,66,90,320
HPE,108.88,83,60,14,87,321
GTLS,108.87,83,48,19,94,322
VYX,108.82,83,38,11,28,323
GELS,108.82,83,16,3,6,324
FBNC,108.72,83,69,59,84,325
GDOT,108.71,83,88,21,21,326
HBT,108.62,83,77,86,67,327
FDN,108.59,83,87,56,86,328
KE,108.56,83,53,16,19,329
FRNW,108.55,83,60,26,19,330
VSTM,108.51,83,94,69,81,331
FOX,108.46,83,88,95,94,332
KORE,108.41,83,81,93,10,333
FWONA,108.25,83,86,68,90,334
FTWO,108.25,83,86,57,69,335
FOWF,108.25,83,84,72,40,336
FEZ,108.18,82,81,83,31,337
HFWA,108.15,82,69,85,88,338
VAC,108.09,82,16,13,57,339
GEF,108.03,82,73,29,28,340
FKU,108.02,82,85,82,30,341
VLN,107.98,82,31,19,92,342
FWD,107.93,82,79,29,78,343
ONLN,107.88,82,88,38,78,344
HLT,107.88,82,77,41,82,345
FTXO,107.74,82,73,43,87,346
VIASP,107.73,82,85,92,89,347
GTEK,107.71,82,82,34,72,348
FDND,107.68,82,87,57,84,349
KKR,107.66,82,60,26,91,350
GOLY,107.65,82,87,93,71,351
OLLI,107.65,82,89,94,85,352
GRFS,107.64,82,82,26,20,353
VPG,107.58,82,74,21,11,354
FNDC,107.57,82,82,74,27,355
HSCS,107.54,82,33,24,5,356
FTXL,107.44,81,65,18,29,357
ONON,107.44,81,88,59,94,358
FDCF,107.41,81,84,50,78,359
VIDI,107.36,81,83,63,44,360
GLW,107.36,81,87,66,89,361
FNB,107.26,81,46,29,76,362
FTEC,107.24,81,77,31,77,363
VBTX,107.23,81,63,45,82,364
VGT,107.23,81,77,31,77,365
OSBC,107.0,81,58,48,86,366
GRID,106.96,81,78,40,49,367
FCLD,106.96,81,80,31,82,368
VLO,106.84,81,27,21,22,369
FFTY,106.83,81,81,36,73,370
FFDI,106.83,81,83,74,32,371
FDTX,106.81,81,81,32,76,372
FISI,106.77,81,79,80,89,373
FDNI,106.73,81,88,88,68,374
HYDR,106.7,81,24,12,17,375
KLTR,106.66,80,96,96,96,376
HOUR,106.63,80,29,22,98,377
GRMN,106.56,80,66,87,93,378
FTHF,106.49,80,82,48,21,379
VOT,106.49,80,80,48,77,380
GRNY,106.47,80,73,30,33,381
VLY,106.45,80,73,76,72,382
VSH,106.45,80,14,12,11,383
HTBK,106.4,80,56,57,40,384
FDRV,106.38,80,61,26,23,385
OSPN,106.37,80,68,72,95,386
F,106.35,80,46,30,15,387
HERZ,106.35,80,81,87,80,388
GWX,106.33,80,80,58,25,389
FSZ,106.32,80,81,79,26,390
KOMP,106.28,80,72,34,71,391
HNVR,106.27,80,76,88,91,392
FNV,106.25,80,91,96,65,393
HGLB,106.25,80,88,81,57,394
FAN,106.23,80,72,43,18,395
GIL,106.19,79,64,45,90,396
FXI,106.07,79,89,91,77,397
FVCB,106.06,79,36,31,26,398
KRE,106.05,79,65,44,85,399
FIGS,106.05,79,33,15,29,400
FPXI,106.03,79,82,46,51,401
HTB,105.99,79,77,87,76,402
KURE,105.94,79,87,77,20,403
GSEU,105.92,79,79,79,27,404
VERS,105.92,79,82,39,85,405
FFOG,105.92,79,84,35,82,406
HCI,105.9,79,94,97,84,407
FBY,105.87,79,83,49,86,408
FLEE,105.83,79,79,76,27,409
HDB,105.81,79,90,89,26,410
GGZ,105.8,79,75,50,45,411
VGK,105.8,79,79,77,26,412
GOTU,105.79,79,86,28,2,413
HAIL,105.76,79,64,24,39,414
FCX,105.69,79,58,16,14,415
FRDM,105.64,78,82,53,30,416
VMI,105.62,78,72,76,87,417
FGDL,105.57,78,90,95,79,418
GMOI,105.52,78,77,74,26,419
VCTR,105.52,78,84,77,92,420
GVIP,105.49,78,82,46,81,421
GLDM,105.49,78,90,95,78,422
OBK,105.46,78,57,50,72,423
OUNZ,105.4,78,90,95,78,424
FDM,105.4,78,70,39,77,425
HURC,105.39,78,9,19,16,426
FXL,105.38,78,78,31,75,427
GBX,105.35,78,15,20,92,428
GLD,105.34,78,90,95,77,429
FIVA,105.33,78,79,73,28,430
FMET,105.28,78,75,32,42,431
FLTW,105.27,78,69,25,50,432
FDP,105.27,78,84,92,88,433
FENI,105.26,78,79,70,31,434
V,105.25,78,88,92,82,435
GLU,105.16,77,78,78,60,436
OPBK,105.14,77,40,44,92,437
VERB,105.09,77,72,5,0,438
FID,104.95,77,81,84,34,439
VRNS,104.9,77,83,29,18,440
OAIM,104.87,77,80,66,36,441
KGRN,104.81,77,82,88,43,442
KNCT,104.81,77,79,48,70,443
GGRW,104.77,77,82,53,82,444
GRCE,104.75,77,81,8,81,445
ON,104.75,77,22,8,10,446
GAST,104.66,77,70,38,59,447
FMQQ,104.65,77,82,60,30,448
KBE,104.64,77,64,45,83,449
HONDU,104.62,77,80,89,44,450
GNT,104.6,77,84,85,58,451
FBZ,104.59,77,80,55,13,452
GSIE,104.54,77,79,72,32,453
HWBK,104.53,77,86,91,90,454
VWID,104.5,76,80,84,33,455
VAL,104.5,76,21,8,10,456
FCFS,104.49,76,83,88,26,457
VOOG,104.44,76,80,45,82,458
HECO,104.44,76,53,16,56,459
FBP,104.4,76,74,59,59,460
VSS,104.4,76,77,54,27,461
GECC,104.39,76,81,75,72,462
FDG,104.36,76,83,43,87,463
HQY,104.3,76,89,40,91,464
FFGX,104.3,76,77,64,29,465
FIDU,104.29,76,75,49,67,466
FRBA,104.29,76,66,67,29,467
GDV,104.29,76,70,60,71,468
GLTR,104.29,76,88,93,69,469
OCFC,104.25,76,62,39,77,470
VYMI,104.25,76,80,78,36,471
FRSH,104.24,76,83,33,81,472
HII,104.19,76,65,36,9,473
VLGEA,104.19,76,87,95,83,474
FTC,104.18,75,78,51,81,475
HON,104.13,75,71,42,65,476
FNDF,104.08,75,76,67,27,477
KQQQ,104.08,75,71,34,69,478
GEN,104.07,75,70,53,79,479
VUG,104.05,75,78,42,80,480
FBCG,103.96,75,75,31,83,481
VIS,103.93,75,74,46,68,482
FDFF,103.92,75,80,61,84,483
KBWR,103.92,75,61,41,83,484
FIDI,103.88,75,80,80,28,485
VRDN,103.87,75,25,14,16,486
GINN,103.84,75,74,42,72,487
FDMO,103.84,75,80,48,81,488
FPAG,103.82,75,74,49,58,489
KWT,103.81,75,80,88,63,490
HNST,103.78,75,84,89,97,491
VEA,103.76,75,77,65,29,492
HDMV,103.75,75,83,89,31,493
GARP,103.74,74,79,39,82,494
GAB,103.74,74,75,78,71,495
FSTR,103.74,74,16,26,86,496
FHB,103.71,74,52,47,84,497
VCLN,103.71,74,59,34,23,498
GLDD,103.67,74,91,32,90,499
GAM,103.61,74,79,72,82,500
GK,103.6,74,72,32,58,501
FBIO,103.59,74,85,19,60,502
FLMX,103.55,74,85,46,12,503
VOX,103.53,74,79,59,83,504
FLN,103.49,74,80,59,14,505
FCOM,103.48,74,79,59,83,506
GABF,103.44,74,76,66,87,507
FFLG,103.44,74,73,30,78,508
OVF,103.41,74,74,57,29,509
VONG,103.4,74,76,41,81,510
GGUS,103.37,74,76,42,76,511
