Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
FORD,573.02,99,99,93,97,1
BSGM,548.1,99,99,99,45,2
NVFY,504.59,99,96,95,13,3
AMPX,489.09,99,99,98,95,4
OKLO,479.37,99,99,99,97,5
MNPR,434.7,99,99,99,99,6
TDUP,423.91,99,99,99,98,7
MVST,389.68,99,99,99,99,8
KOD,383.18,99,98,81,15,9
BETR,374.23,99,91,34,28,10
IREN,372.57,99,98,96,19,11
LIXT,360.31,99,99,79,10,12
NBTX,358.51,99,97,76,36,13
SLGL,358.37,99,99,67,9,14
UAMY,357.5,99,99,98,99,15
PRCH,355.44,99,99,99,99,16
CDTX,354.86,99,99,99,66,17
DBVT,347.61,99,99,99,99,18
BE,339.8,99,99,90,87,19
OVID,333.17,99,98,4,1,20
AREC,332.8,99,99,84,9,21
AREN,330.09,99,99,99,98,22
ENTO,330.07,99,91,16,29,23
SIFY,328.05,99,98,92,94,24
NBY,326.22,99,99,22,12,25
SY,323.09,99,99,99,40,26
LEU,318.09,99,98,99,59,27
LTBR,316.44,99,97,98,97,28
RLMD,313.89,99,62,65,1,29
NRGV,310.18,99,94,16,9,30
LPTH,309.97,99,98,94,51,31
AGFY,309.93,99,99,98,99,32
NKTR,309.78,99,97,96,6,33
EQ,305.29,99,99,2,11,34
ATAI,304.5,99,98,97,45,35
CGTX,302.49,99,99,4,5,36
AMLX,297.98,99,98,97,92,37
ABAT,297.46,99,97,93,20,38
IONQ,292.09,99,97,99,97,39
UUUU,290.68,99,97,86,14,40
PVLA,285.38,98,98,92,98,41
PL,285.34,98,96,98,92,42
JMIA,281.99,98,98,84,3,43
YI,278.39,98,99,99,99,44
PSIX,276.18,98,98,99,99,45
ASM,273.94,98,99,99,97,46
PGEN,273.62,98,99,85,77,47
XNET,272.43,98,98,96,98,48
VFF,271.79,98,99,94,11,49
MLYS,268.7,98,73,61,66,50
OMEX,268.67,98,99,96,2,51
IPA,267.76,98,99,98,10,52
CIFR,262.8,98,95,94,6,53
METC,261.98,98,98,75,13,54
ZKIN,261.56,98,96,99,98,55
GALT,256.64,98,98,88,33,56
PEPG,255.83,98,2,1,0,57
USAS,254.47,98,98,98,95,58
SATS,253.76,98,98,82,84,59
PZG,252.21,98,97,95,53,60
HOOD,248.99,98,98,99,94,61
OCC,248.31,98,98,69,35,62
DOMH,245.97,98,97,99,99,63
CYD,245.89,98,98,97,96,64
ARQQ,245.27,98,97,99,84,65
HOUS,244.87,98,91,44,42,66
PROK,244.26,98,97,2,3,67
CMCL,241.78,98,96,96,86,68
VGZ,240.52,98,89,93,91,69
BW,240.27,98,96,73,0,70
KTOS,239.8,98,98,94,91,71
SSRM,239.32,98,97,97,97,72
VERI,239.13,98,83,2,12,73
CRDO,238.22,98,98,98,55,74
APLD,238.17,98,98,92,35,75
APP,237.42,98,97,97,97,76
GPRO,235.1,98,96,16,4,77
IDR,234.1,98,97,48,95,78
TNGX,232.41,98,97,98,1,79
RAPT,232.21,98,79,5,7,80
AEHR,230.98,97,98,90,11,81
