Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
ZYXI,542.1,99,99,99,99,1
FCUV,428.09,99,95,90,24,2
MDGL,424.55,99,99,99,77,3
ACB,410.82,99,99,51,99,4
VRME,389.87,99,95,67,1,5
NCPL,381.1,99,94,96,99,6
TSSI,346.92,99,99,99,98,7
RIOT,344.67,99,99,99,64,8
XNET,329.74,99,99,92,8,9
INM,326.68,99,99,85,97,10
GRVY,326.66,99,99,99,98,11
XOMA,322.28,99,99,99,74,12
CGC,321.38,99,98,92,96,13
ANAB,319.65,99,99,99,89,14
NKTR,314.05,99,99,92,96,15
SIEB,313.75,99,99,94,99,16
BYON,306.6,99,99,99,32,17
GPUS,301.5,99,99,30,17,18
NIXX,300.2,99,99,99,95,19
CNET,288.53,99,17,49,7,20
AVTX,283.58,99,99,75,13,21
GYRE,279.54,99,99,11,1,22
DTST,274.1,99,7,95,99,23
GALT,266.71,99,95,97,96,24
ASTH,263.65,99,99,75,93,25
INTZ,260.23,99,99,22,87,26
TAOP,259.83,99,97,96,53,27
CCLD,257.01,99,99,99,72,28
ARGX,253.22,99,99,45,15,29
CDNA,252.68,99,99,99,13,30
VKTX,250.16,99,99,99,11,31
IGC,249.23,99,98,62,24,32
DSS,234.65,99,95,22,15,33
EP,232.55,99,57,99,0,34
ARWR,230.17,99,97,99,7,35
ESPR,229.12,99,98,99,99,36
EGAN,228.37,99,99,96,16,37
CASI,227.99,99,99,99,10,38
DQ,223.66,99,98,93,81,39
SAGE,222.38,99,99,24,96,40
GLYC,219.83,99,98,96,99,41
WW,219.11,99,99,99,99,42
SGMO,218.52,99,99,99,99,43
AIFF,218.01,99,97,90,98,44
UTSI,217.87,99,99,96,57,45
LGO,217.4,99,97,99,17,46
NAIL,215.6,99,99,98,95,47
AIFU,214.39,99,99,97,43,48
SMLR,212.94,99,99,99,93,49
SIFY,208.82,99,96,97,8,50
SKY,208.57,99,89,96,11,51
SBET,205.28,98,98,99,5,52
QURE,204.12,98,99,99,94,53
APTO,202.06,98,90,41,90,54
TREE,201.9,98,99,98,97,55
ANIX,199.99,98,94,96,0,56
URGN,198.99,98,98,97,92,57
NOG,198.2,98,70,0,1,58
MFIN,193.42,98,97,9,15,59
PVLA,191.37,98,98,98,99,60
CREG,190.62,98,99,7,5,61
KRMD,190.42,98,98,89,57,62
GROW,189.33,98,99,93,11,63
YY,188.34,98,98,97,96,64
HCC,188.19,98,98,94,68,65
GDS,186.71,98,98,96,50,66
XXII,186.1,98,97,99,88,67
LNW,184.35,98,98,98,99,68
OLED,182.67,98,98,97,98,69
CPHI,181.83,98,8,3,11,70
PCSA,181.73,98,0,99,99,71
KEN,181.73,98,94,92,83,72
CEAD,181.32,98,94,2,9,73
GIC,180.75,98,99,99,98,74
BOOT,180.53,98,97,13,2,75
NITO,180.52,98,20,99,6,76
SMSI,179.48,98,99,74,5,77
OPHC,178.12,98,98,2,11,78
APPN,176.35,98,65,92,92,79
SANG,175.16,98,90,97,96,80
ONCY,174.52,98,96,93,93,81
WPRT,173.88,98,98,99,85,82
LAR,173.18,98,98,99,68,83
APPS,173.17,98,98,96,72,84
PENG,172.63,98,98,99,94,85
ATHM,171.53,98,95,97,97,86
TMQ,171.33,98,92,96,98,87
SOXL,169.33,98,97,98,98,88
CPRX,168.41,98,99,95,99,89
VCEL,167.53,98,92,96,93,90
ALGN,166.96,98,97,97,96,91
WB,166.62,98,96,97,97,92
NC,166.43,98,99,99,17,93
BLFS,166.35,98,99,99,98,94
CYRX,164.87,98,97,99,99,95
ONC,164.87,98,98,98,99,96
YINN,164.16,98,93,95,94,97
DVAX,163.82,98,99,99,97,98
ADD,163.66,98,98,5,5,99
KGEI,163.62,98,98,97,12,100
AXGN,163.62,98,99,97,97,101
VHI,163.33,97,98,51,84,102
MSB,163.26,97,98,98,68,103
ALNY,163.09,97,98,99,98,104
QNST,162.39,97,98,98,39,105
ASMB,162.23,97,98,96,97,106
FSLR,162.12,97,98,87,90,107
IPM,161.71,97,94,12,4,108
FATE,161.53,97,75,91,24,109
ANET,160.89,97,97,97,96,110
SAVA,160.19,97,14,19,2,111
USEG,160.11,97,91,56,2,112
MARA,160.05,97,99,5,0,113
STLA,159.84,97,95,97,92,114
HCM,159.46,97,96,96,96,115
ABEO,159.24,97,99,99,98,116
CORT,158.6,97,93,98,96,117
HTHT,158.13,97,97,98,98,118
EVI,157.83,97,95,94,99,119
CTLP,157.59,97,98,84,85,120
SEDG,157.14,97,98,97,94,121
UDOW,157.09,97,96,95,93,122
ATRA,156.57,97,13,14,15,123
IPGP,156.39,97,95,97,96,124
EC,156.29,97,93,49,33,125
FENG,155.82,97,98,98,5,126
LGIH,155.47,97,98,96,92,127
GLMD,155.41,97,97,93,98,128
XYZ,155.35,97,98,98,99,129
COLL,154.65,97,95,11,30,130
CWEB,154.43,97,95,98,97,131
BLUE,154.41,97,98,98,95,132
WTI,154.33,97,35,96,21,133
CVGI,153.86,97,97,81,95,134
RCKT,153.74,97,90,95,0,135
IIPR,153.16,97,94,40,15,136
GOOS,153.05,97,94,75,80,137
BHC,152.65,97,95,10,91,138
PTN,152.08,97,98,98,14,139
NOVT,151.87,97,97,97,98,140
TECL,151.56,97,97,95,95,141
RH,151.55,97,99,98,99,142
MYSZ,151.45,97,3,0,0,143
PETS,151.2,97,96,89,99,144
CROX,151.17,97,97,90,39,145
TACT,151.09,97,96,81,80,146
SUPV,150.79,97,97,96,78,147
CVI,150.75,97,97,94,86,148
EDC,149.82,97,93,95,95,149
LEDS,149.7,97,96,7,2,150
DFEN,149.58,97,96,95,86,151
BA,149.51,97,95,95,95,152
DINO,149.44,96,97,91,52,153
HLNE,149.3,96,96,92,88,154
ASND,149.28,96,94,95,93,155
WVE,149.2,96,96,19,11,156
TRUP,149.18,96,97,96,95,157
XPO,148.96,96,94,92,96,158
ENTA,148.21,96,96,94,93,159
GGAL,148.11,96,97,95,66,160
PAMT,147.95,96,97,94,25,161
NAGE,147.9,96,98,93,72,162
