Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
ZEPP,573.97,99,99,99,26,1
NVFY,530.81,99,99,99,95,2
PRAX,528.52,99,99,53,40,3
AXTI,526.45,99,99,97,44,4
CDTX,523.3,99,99,99,99,5
SLGL,460.54,99,99,99,68,6
WBX,434.22,99,99,99,4,7
OLMA,433.56,99,99,93,19,8
KOD,422.51,99,99,99,81,9
OPEN,417.32,99,99,99,1,10
TOI,402.34,99,99,99,99,11
COGT,397.35,99,99,93,42,12
VTYX,394.31,99,99,89,84,13
PVLA,391.23,99,99,98,92,14
TE,382.52,99,94,90,50,15
NBTX,378.65,99,99,99,76,16
SPRB,359.55,99,99,0,0,17
IVVD,354.94,99,98,91,54,18
LITE,348.36,99,98,95,89,19
NUVB,346.98,99,98,87,26,20
DBVT,328.23,99,99,99,99,21
PL,316.6,99,98,98,98,22
NRGV,315.97,99,97,99,16,23
USAS,306.27,99,98,98,98,24
BW,305.36,99,99,98,73,25
CAPR,302.59,99,6,4,60,26
ARWR,300.63,99,97,94,43,27
VFF,296.68,99,99,98,94,28
ASM,293.6,99,97,98,99,29
SATS,291.0,99,97,98,82,30
CTMX,280.9,99,99,97,99,31
RAPT,275.55,99,99,97,5,32
FRGE,274.18,99,98,47,91,33
TMQ,267.78,99,99,95,94,34
HL,267.35,99,97,94,63,35
BE,267.24,99,99,99,90,36
JMIA,265.08,99,97,98,84,37
CIFR,263.92,99,98,98,94,38
IREN,262.38,99,99,99,96,39
ARMN,260.37,98,97,94,93,40
MRSN,258.79,98,98,4,1,41
ARMP,256.47,98,99,89,61,42
LPTX,255.16,98,99,8,1,43
ITRG,254.73,98,96,97,89,44
OVID,252.85,98,97,99,4,45
IDR,251.75,98,96,97,48,46
WDC,251.55,98,98,95,89,47
NUTX,251.43,98,97,97,99,48
IMMX,251.02,98,97,54,86,49
PGEN,248.53,98,97,98,85,50
IMAB,244.6,98,99,98,98,51
CGTX,243.39,98,98,99,4,52
QBTS,237.76,98,99,99,99,53
CALC,236.42,98,85,85,4,54
PALI,234.63,98,98,28,4,55
STOK,233.42,98,98,96,81,56
GPCR,233.22,98,91,42,16,57
PEPG,232.59,98,99,98,2,58
LASR,231.68,98,96,97,97,59
SBSW,230.47,98,96,96,96,60
INDV,228.76,98,98,95,89,61
ANAB,228.55,98,96,64,75,62
RKLB,227.69,98,88,97,99,63
GOSS,227.21,98,98,97,82,64
ABAT,226.69,98,98,98,93,65
ALTO,226.56,98,94,14,26,66
VSAT,225.59,98,98,97,90,67
OWLT,225.15,98,97,91,97,68
TSHA,225.05,98,95,89,91,69
CIEN,224.53,98,97,94,81,70
NAK,223.9,98,97,91,99,71
PRPO,222.5,98,98,97,97,72
SPRU,222.44,98,98,18,7,73
LPTH,222.39,98,98,99,94,74
SGHT,221.78,98,96,23,79,75
APLD,221.16,98,96,97,92,76
CLLS,220.74,98,98,96,45,77
SOHO,220.27,98,98,17,49,78
PRLD,219.74,97,94,87,6,79
ZURA,219.04,97,97,90,4,80
LIXT,217.54,97,97,99,80,81
FULC,217.24,97,98,95,96,82
TNGX,216.69,97,99,97,98,83
AMPX,216.44,97,99,99,98,84
FEIM,216.28,97,87,92,93,85
FLNC,216.08,97,97,85,19,86
THM,215.45,97,96,97,95,87
IRWD,214.46,97,98,56,0,88
ENTA,211.64,97,93,56,69,89
IAG,209.87,97,95,95,90,90
MU,209.57,97,96,88,80,91
FBRX,208.94,97,93,79,93,92
ASTS,208.84,97,93,91,98,93
AVTX,208.31,97,98,90,4,94
NG,208.15,97,96,96,87,95
IMNM,207.71,97,96,69,29,96
ESPR,207.03,97,96,95,6,97
LQDA,206.55,97,94,93,36,98
EOSE,206.15,97,98,97,94,99
QNCX,205.85,97,91,71,92,100
NEWP,204.28,97,91,96,75,101
VGZ,204.23,97,96,98,93,102
DRD,204.16,97,96,97,82,103
TTI,204.01,97,96,93,41,104
AU,203.26,97,97,95,94,105
STTK,202.19,97,94,95,3,106
CNTB,202.09,97,98,91,69,107
SIFY,201.11,97,96,99,92,108
NAUT,200.91,97,98,11,3,109
WVE,200.56,97,15,13,22,110
VSCO,200.55,97,89,67,28,111
RANI,200.16,97,96,2,0,112
WULF,199.9,97,96,97,82,113
ORKA,199.01,97,97,47,20,114
SPHR,198.28,97,95,87,70,115
MTA,197.61,97,95,94,87,116
CLS,197.54,97,97,97,98,117
COMM,197.45,96,98,96,98,118
PZG,197.21,96,98,98,95,119
IHRT,197.16,96,96,89,79,120
NGD,196.72,96,94,94,95,121
AG,196.24,96,92,93,89,122
GH,196.14,96,98,91,93,123
SVRA,196.1,96,95,74,4,124
TCMD,195.81,96,96,58,8,125
VICR,194.87,96,93,50,52,126
