Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
RGTI,540.45,99,99,99,50,1
GITS,537.41,99,99,5,3,2
MYNZ,497.32,99,99,99,3,3
HAO,490.27,99,99,1,0,4
JL,453.99,99,99,99,3,5
TMCWW,446.72,99,98,92,3,6
LIDRW,446.39,99,99,99,15,7
TOI,434.14,99,99,84,2,8
AMPGW,420.78,99,99,99,1,9
QBTS,392.34,99,99,99,87,10
PTIR,390.4,99,99,99,97,11
MVST,385.84,99,98,99,2,12
GRRR,385.67,99,99,99,69,13
SXTC,381.13,99,99,3,2,14
ABTS,380.47,99,99,18,7,15
WGS,374.67,99,99,99,99,16
JZXN,356.89,99,98,6,2,17
ASTS,348.23,99,99,99,99,18
AMBR,335.78,99,99,99,86,19
YOSH,335.43,99,99,11,55,20
CTM,335.28,99,99,99,11,21
PSIX,332.75,99,99,99,99,22
TSSI,331.86,99,99,99,99,23
RETO,330.68,99,99,7,6,24
CNL,330.47,99,99,94,92,25
AZ,320.27,99,99,99,99,26
AGFY,316.75,99,99,99,5,27
OCG,315.43,99,39,28,87,28
KC,309.34,99,99,99,17,29
AREN,299.93,99,96,95,7,30
NUKK,299.81,99,99,99,3,31
IDAI,295.94,99,99,99,1,32
CPIX,295.05,99,99,96,9,33
OCFT,292.06,99,99,88,74,34
MNDR,288.93,99,99,1,0,35
LX,285.07,99,99,99,97,36
NAK,282.92,99,98,97,86,37
LNSR,280.52,99,99,96,95,38
SMMT,277.52,99,98,99,99,39
XCUR,275.37,99,99,99,21,40
RPID,273.21,99,99,95,60,41
NEON,273.12,99,99,98,99,42
SATX,272.07,99,97,98,93,43
RKLB,269.82,99,99,99,99,44
JUNE,269.49,99,98,18,73,45
SATL,269.36,99,99,98,14,46
DOMH,268.28,99,99,7,17,47
PLTR,266.29,99,99,98,98,48
ETON,265.51,99,99,99,98,49
CLEU,265.26,99,99,99,3,50
UBXG,263.24,99,97,99,0,51
CSLR,261.99,99,92,96,99,52
DATSW,257.9,99,99,99,45,53
ORLA,257.03,99,98,92,91,54
MFH,250.34,99,99,99,14,55
LAES,247.58,99,99,99,2,56
BULL,245.92,99,65,48,36,57
KINS,245.23,99,98,99,99,58
XTKG,244.23,99,99,99,1,59
JFBR,242.89,99,99,99,9,60
PDEX,241.95,99,98,96,93,61
KULR,241.52,99,99,99,26,62
EOSE,239.17,99,99,99,99,63
SEZL,235.44,99,98,99,99,64
PULM,234.36,99,99,99,35,65
XYF,234.27,99,99,95,97,66
INOD,233.99,99,99,99,98,67
CRVO,233.22,99,99,0,22,68
TDUP,230.23,99,97,96,1,69
ETHD,227.72,99,97,4,92,70
EXOD,226.95,99,99,99,99,71
TMC,226.93,99,97,88,14,72
TMQ,225.55,99,99,98,80,73
MBOT,225.34,99,97,97,21,74
UMAC,224.85,99,99,99,9,75
MEGL,224.69,99,99,50,8,76
CLOV,223.82,99,98,99,99,77
PDYN,222.42,99,99,99,98,78
CURI,222.33,99,99,97,99,79
BKTI,222.13,99,97,97,98,80
PVLA,218.58,99,98,58,66,81
VRNA,216.95,99,99,98,98,82
ROOT,215.51,99,99,99,98,83
SARK,214.94,99,97,92,16,84
XNET,214.68,99,99,86,88,85
STIM,214.52,99,99,92,3,86
IONQ,214.46,99,97,99,96,87
PRCH,214.19,99,99,98,19,88
OPOF,212.76,99,97,91,75,89
ASM,212.65,99,98,90,98,90
HTZ,212.01,99,21,28,4,91
AEVA,211.31,99,87,81,81,92
JG,210.25,99,99,95,99,93
TISI,210.2,99,96,96,99,94
GDXU,208.84,99,97,22,97,95
TRVI,207.51,99,98,93,94,96
RDUS,207.47,99,97,9,13,97
HRTG,206.39,99,93,87,96,98
EAT,205.76,98,98,98,98,99
ESGL,204.84,98,98,71,99,100
RAYA,204.38,98,95,94,98,101
ALHC,203.18,98,98,96,94,102
KNW,202.7,98,99,3,5,103
ITRG,202.66,98,95,16,91,104
RCAT,200.53,98,99,99,98,105
NVA,200.52,98,98,98,97,106
PLX,200.06,98,97,97,12,107
LTBR,199.95,98,99,96,98,108
SUPV,199.73,98,96,99,98,109
XGN,199.47,98,94,97,95,110
TATT,199.11,98,95,97,96,111
ICAD,198.83,98,92,93,85,112
APP,198.57,98,99,99,99,113
CNVS,197.68,98,99,98,98,114
QSG,197.61,98,93,20,82,115
MLGO,196.85,98,14,0,0,116
TBRG,195.53,98,98,97,79,117
SGHC,194.7,98,97,97,83,118
GDC,194.52,98,94,89,93,119
BBAR,194.04,98,97,99,98,120
ADMA,193.85,98,97,96,99,121
NGVC,193.79,98,95,97,95,122
ADUR,192.72,98,98,99,99,123
ETQ,192.52,98,96,2,26,124
SHNY,192.48,98,97,86,96,125
ESLT,190.63,98,98,92,52,126
HMY,189.98,98,96,82,96,127
VNET,189.91,98,99,98,97,128
VVPR,189.51,98,8,13,2,129
CCLDO,189.44,98,97,98,92,130
ZKIN,189.43,98,99,57,16,131
PRTG,189.19,98,5,8,18,132
SRAD,188.62,98,97,96,80,133
DRD,188.53,98,97,64,92,134
XPEV,188.48,98,98,94,83,135
JNUG,188.41,98,97,65,96,136
SSRM,188.31,98,98,85,20,137
VSTA,187.94,98,95,12,10,138
USAU,187.91,98,98,92,93,139
REBN,187.85,98,99,6,10,140
HSAI,187.82,98,99,99,14,141
FOA,187.62,98,98,99,95,142
LRN,186.51,98,96,96,94,143
TGTX,185.72,98,98,93,96,144
GH,185.41,98,97,97,13,145
^VIX,185.33,98,93,23,81,146
ALMU,184.12,98,96,98,17,147
NUGT,183.63,98,97,50,96,148
LB,183.41,98,99,98,98,149
LXEH,182.86,98,99,88,6,150
QVCGB,182.78,98,97,5,10,151
KGEI,182.29,98,98,98,19,152
GRAL,181.94,98,97,94,20,153
MSGM,181.62,98,20,9,4,154
GMM,181.44,98,99,99,1,155
HNRG,180.9,98,97,94,80,156
OPFI,180.22,98,99,99,96,157
QH,180.0,98,96,95,99,158
SKE,180.0,98,97,94,98,159
USAS,179.54,98,98,95,98,160
