Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
QUBT,585.23,99,99,99,99,1
PED,578.84,99,99,5,2,2
TBCH,551.96,99,99,99,8,3
LIXT,496.91,99,99,87,51,4
PAYS,427.17,99,99,99,98,5
PRQR,383.91,99,98,97,7,6
LX,381.5,99,99,99,99,7
CDNA,379.85,99,99,99,99,8
MDGL,360.69,99,99,99,99,9
SMLR,358.18,99,99,99,98,10
CELZ,351.87,99,97,99,0,11
ARWR,324.65,99,99,99,99,12
EMP,322.45,99,99,6,0,13
LIQT,301.02,99,98,97,80,14
XENE,299.67,99,99,98,96,15
VKTX,286.41,99,99,99,99,16
FCUV,285.56,99,99,97,96,17
SSTI,284.28,99,99,99,97,18
RFIL,263.81,99,99,99,98,19
OPRX,260.2,99,99,99,94,20
STAA,259.97,99,99,98,91,21
MED,259.32,99,99,99,97,22
SIEB,257.86,99,99,95,95,23
BLFS,244.3,99,99,99,96,24
LFVN,240.46,99,99,87,12,25
CGC,238.96,99,99,99,99,26
FNKO,238.1,99,99,95,84,27
SLDB,235.94,99,97,99,0,28
AFMD,230.18,99,4,58,85,29
ODV,229.17,99,99,7,2,30
CVNA,228.6,99,99,98,88,31
INSG,225.64,99,96,92,90,32
AACG,224.16,99,92,53,80,33
POCI,221.06,99,82,31,81,34
TKO,218.72,99,99,99,95,35
AMD,217.98,99,96,92,11,36
KEN,215.16,99,99,99,99,37
QURE,213.67,99,98,99,99,38
INTZ,212.6,99,99,98,98,39
RCKT,212.16,99,98,99,98,40
SFIX,209.72,99,98,93,90,41
SSKN,208.04,99,90,94,6,42
AVTX,204.85,99,99,99,99,43
TTD,204.56,99,99,96,80,44
IGC,203.76,99,7,39,86,45
PAR,202.55,99,99,94,90,46
TWLO,202.45,99,98,98,95,47
CASI,201.87,99,99,99,99,48
TSSI,201.82,99,97,92,99,49
BXC,199.88,99,98,99,99,50
SRPT,198.42,99,98,99,98,51
NGVC,197.59,99,99,96,18,52
IRMD,196.74,99,98,96,91,53
SRDX,196.58,99,99,97,93,54
VERB,196.19,98,99,99,99,55
EGY,195.82,98,99,99,86,56
UAMY,194.48,98,98,95,7,57
LTRX,194.09,98,96,87,38,58
VRME,193.17,98,99,98,99,59
NTRA,192.52,98,99,92,23,60
LRMR,192.26,98,98,96,98,61
AVAV,191.64,98,97,88,77,62
CENN,190.92,98,99,62,14,63
NOG,190.9,98,98,98,89,64
RGNX,189.93,98,99,98,80,65
MDB,189.03,98,98,97,90,66
PRKS,188.43,98,97,95,38,67
FOSL,188.14,98,99,99,92,68
LGO,187.21,98,99,98,98,69
MRKR,187.2,98,99,99,15,70
INGN,186.31,98,98,96,87,71
NVCR,185.57,98,97,96,96,72
XYZ,184.9,98,98,97,98,73
VNCE,184.61,98,99,99,94,74
CCRD,184.57,98,99,97,87,75
AXON,184.42,98,98,99,96,76
UIS,181.8,98,96,91,68,77
BAND,181.6,98,98,96,96,78
BOOT,180.33,98,98,98,97,79
CSBR,180.17,98,98,98,66,80
OKTA,180.15,98,96,97,95,81
CDXS,179.99,98,98,98,98,82
ROKU,179.46,98,97,93,65,83
GERN,178.96,98,96,91,99,84
ANIX,177.32,98,98,95,99,85
VICR,176.27,98,99,98,89,86
DXCM,176.01,98,98,94,57,87
CARM,175.35,98,96,98,10,88
RMBL,175.35,98,86,69,4,89
ETSY,174.48,98,99,98,97,90
FRPT,173.04,98,98,94,65,91
VSTM,171.56,98,99,99,84,92
NDLS,171.51,98,98,98,96,93
MOH,171.33,98,98,90,83,94
PTCT,171.1,98,98,95,98,95
AMED,169.41,98,98,94,78,96
APPF,168.98,98,97,96,78,97
EU,168.68,98,97,91,3,98
OTRK,168.55,98,98,97,53,99
FIVE,166.89,98,97,96,91,100
VNOM,166.59,98,97,94,93,101
GKOS,166.26,98,84,89,14,102
NSP,166.02,98,98,98,96,103
KALV,164.99,98,93,15,86,104
TEAM,164.82,98,95,93,95,105
ARGX,164.72,98,99,99,99,106
AEYE,164.51,98,97,77,98,107
ABUS,163.92,97,97,95,84,108
LULU,163.84,97,97,98,87,109
AWX,163.18,97,98,29,61,110
EP,163.06,97,99,95,84,111
FTNT,163.06,97,97,93,92,112
TCMD,162.83,97,97,97,86,113
WKSP,161.52,97,96,3,1,114
TPB,161.45,97,96,97,86,115
TDOC,161.08,97,98,96,91,116
HGBL,160.61,97,96,84,20,117
WTI,160.57,97,96,99,97,118
MTCH,160.34,97,95,95,98,119
YEXT,160.2,97,98,95,34,120
GOOS,159.67,97,98,99,96,121
BJRI,159.53,97,96,96,88,122
OPXS,159.45,97,94,63,84,123
VCEL,159.04,97,98,99,99,124
CRSP,158.89,97,96,99,99,125
DLTH,158.88,97,95,83,28,126
CCLD,158.72,97,97,94,99,127
SOTK,158.6,97,98,80,86,128
OLB,158.59,97,95,99,43,129
UUUU,158.3,97,98,86,17,130
ANGI,157.35,97,95,89,95,131
EC,157.23,97,93,96,98,132
IIPR,157.12,97,95,96,93,133
PAYC,156.85,97,96,89,95,134
HAE,156.39,97,97,97,96,135
CTSO,155.11,97,96,98,93,136
