Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
CYBR, 17.11B,2024-12-31, 333.15$,  3.71,  2.05,3650,32,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.02,N/A,N/A,N/A
FTAI, 11.77B,2024-12-31, 143.61$,  4.92,  2.77,13,383,  0.97,  1.17,  1.30,  1.20,  1.35,  1.12,  1.10,N/A,N/A,N/A
CYBR, 17.11B,2024-12-31, 333.15$,  3.71,  2.05,3650,32,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.02,N/A,N/A,N/A
FTAI, 11.77B,2024-12-31, 143.61$,  4.92,  2.77,13,383,  0.97,  1.17,  1.30,  1.20,  1.35,  1.12,  1.10,N/A,N/A,N/A
CYBR, 17.11B,2024-12-31, 333.15$,  3.71,  2.05,3650,32,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.02,N/A,N/A,N/A
FTAI, 11.77B,2024-12-31, 143.61$,  4.92,  2.77,13,383,  0.97,  1.17,  1.30,  1.20,  1.35,  1.12,  1.10,N/A,N/A,N/A
CYBR, 17.11B,2024-12-31, 333.15$,  3.71,  2.05,3650,32,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.02,N/A,N/A,N/A
FTAI, 11.77B,2024-12-31, 143.61$,  4.92,  2.77,13,383,  0.97,  1.17,  1.30,  1.20,  1.35,  1.12,  1.10,N/A,N/A,N/A
CYBR, 17.11B,2024-12-31, 333.15$,  3.71,  2.05,3650,32,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.02,N/A,N/A,N/A
FTAI, 11.77B,2024-12-31, 143.61$,  4.92,  2.77,13,383,  0.97,  1.17,  1.30,  1.20,  1.35,  1.12,  1.10,N/A,N/A,N/A
CYBR, 17.11B,2024-12-31, 333.15$,  3.71,  2.05,3650,32,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.02,N/A,N/A,N/A
FTAI, 11.77B,2024-12-31, 143.61$,  4.92,  2.77,13,383,  0.97,  1.17,  1.30,  1.20,  1.35,  1.12,  1.10,N/A,N/A,N/A
CYBR, 17.11B,2024-12-31, 333.15$,  3.71,  2.05,3650,32,  1.08,  1.19,  1.22,  1.10,  1.13,  1.03,  1.02,N/A,N/A,N/A
FTAI, 11.77B,2024-12-31, 143.61$,  4.92,  2.77,13,383,  0.97,  1.17,  1.30,  1.20,  1.35,  1.12,  1.10,N/A,N/A,N/A
