Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
AR, 12.89B,  29.47$,  9.89%, 18.41%,2023-10-25, 6.82%,108.92%
ICLR, 14.91B, 240.56$,  0.75%,  4.27%,2023-10-25, 1.23%,100.80%
LH, 19.79B, 205.92$,  2.44%,  1.33%,2023-10-25, 3.13%,108.61%
ORLY, 78.78B, 921.64$,  1.39%,  2.82%,2023-10-25, 1.91%,134.86%
