Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
BURL, 15.71B, 286.94$,  8.59%, 22.14%,2024-11-25, 1.53%,145.14%
GME, 11.44B,  30.33$, 18.58%, 46.89%,2024-11-25, 3.07%,145.55%
WAT, 22.18B, 388.15$,  5.78%, 16.66%,2024-11-25, 2.93%,138.01%
