Rank,Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,RGTI,551.49,99,99,99,14
2,GITS,550.34,99,99,16,11
3,ATER,532.79,99,99,8,3
4,IDAI,530.36,99,99,25,1
5,WHLRL,517.14,99,97,90,82
6,JL,496.28,99,99,99,3
7,OMH,441.81,99,7,5,6
8,CTM,426.69,99,99,98,13
9,AMPGW,426.34,99,99,99,11
10,JYD,425.72,99,99,99,52
11,CRBP,423.34,99,99,99,47
12,GRRR,420.1,99,99,99,55
13,RKLB,404.68,99,99,98,81
14,DATSW,402.32,99,99,84,22
15,SLNO,400.44,99,99,99,99
16,QBTS,397.05,99,99,50,36
17,SKYE,393.05,99,99,67,2
18,ILLR,386.97,99,9,3,1
19,PTIR,386.54,99,99,99,96
20,RDW,377.33,99,99,99,99
21,MNDR,373.75,99,15,0,1
22,YOSH,373.39,99,98,7,98
23,NUTX,372.92,99,99,98,98
24,IONQ,369.62,99,99,97,9
25,ROOT,364.4,99,98,98,99
26,VKTX,355.79,99,99,98,80
27,LSF,343.05,99,99,99,99
28,CATX,335.2,99,99,97,7
29,RNA,332.09,99,99,98,90
30,CLSK,323.73,99,99,98,61
31,SNDA,321.09,99,99,24,30
32,MLGO,320.58,99,7,0,0
33,CVNA,316.04,99,99,99,98
34,PDYN,314.62,99,99,99,97
35,GATEW,306.83,99,98,94,97
36,EXOD,303.84,99,99,99,99
37,SMCI,293.97,99,99,99,99
38,HSAI,291.77,99,99,99,23
39,ARQ,287.53,99,99,97,11
40,MTC,286.09,99,98,98,89
41,LAES,283.23,99,99,99,3
42,SYRE,282.96,99,99,99,93
43,CNL,282.63,99,97,91,91
44,UMAC,281.38,99,99,99,27
45,NN,280.64,99,97,92,98
46,MSTR,279.67,99,99,93,95
47,CRDF,277.91,99,99,74,9
48,GMM,277.51,99,99,99,6
49,VRT,277.51,99,99,99,99
50,MYO,274.53,99,99,99,98
51,PRCH,273.79,99,99,99,3
52,LFMD,273.37,99,99,97,99
53,APM,269.1,99,99,9,6
54,UPC,268.31,99,0,0,0
55,SOWG,263.73,99,95,95,99
56,AZ,261.9,99,99,99,61
57,ONDS,257.3,99,15,65,75
58,RPID,255.86,99,99,58,80
59,XTLB,248.93,99,99,21,24
60,AEYE,248.09,99,98,58,22
61,APP,246.92,99,99,99,99
62,QXO,246.29,99,99,99,34
63,DXYZ,244.54,99,99,99,25
64,MEGL,244.04,99,99,16,19
65,NNE,243.22,99,99,99,99
66,EOSEW,242.76,99,44,18,21
67,JFBR,242.54,99,99,99,8
68,ENTX,239.05,99,98,78,25
69,NTRBW,235.25,99,99,99,99
70,KRRO,231.78,99,99,99,2
71,EQ,230.47,99,99,90,8
72,OKLO,230.12,99,99,98,40
73,MDIA,228.95,99,7,6,7
74,ACHR,228.78,99,98,7,40
75,LENZ,227.52,99,98,99,99
76,DTSS,225.18,99,96,1,0
77,NKTR,224.46,99,94,16,6
78,AGFY,223.61,99,99,99,5
79,CRVO,223.0,99,99,97,97
80,BYSI,222.85,99,99,14,47
81,TMCWW,221.89,99,98,7,12
82,SATL,219.16,99,99,99,29
83,WAVE,218.52,99,99,99,99
84,BYRN,218.28,99,99,87,36
85,TSSI,217.18,99,94,11,39
86,LWAY,216.22,99,98,96,98
87,GBTC,216.14,99,99,98,98
88,LB,216.02,99,97,98,98
89,GYRE,215.88,99,98,99,96
90,STEC,215.12,99,98,80,5
91,ANF,214.97,99,99,99,99
92,MNMD,214.79,99,99,85,12
93,MYTE,214.71,99,98,97,43
94,POWL,214.56,99,98,94,98
95,KINS,214.07,99,98,98,96
96,BABX,212.29,99,98,33,98
97,PROP,212.01,99,97,97,99
98,MOD,211.91,98,99,98,97
99,RNTX,211.52,98,99,99,8
100,NAGE,211.27,98,99,45,23
101,PRAX,209.71,98,98,97,98
102,NRIX,208.94,98,99,96,98
103,JZXN,208.21,98,98,5,0
104,RR,207.82,98,98,95,5
105,EOSE,207.19,98,98,98,10
106,NXL,206.01,98,99,99,33
107,STOK,204.06,98,96,38,4
108,AMPX,202.76,98,96,93,6
109,AQST,202.18,98,99,97,92
110,MGNX,201.66,98,98,99,41
111,PLTR,201.61,98,97,81,95
112,MESO,199.25,98,88,3,2
113,RZLT,199.23,98,96,11,5
114,BGM,198.33,98,97,97,99
115,VST,198.23,98,98,94,95
116,EVER,197.51,98,97,96,89
117,YMAB,196.86,98,99,98,80
118,GV,196.72,98,6,5,67
119,CLS,196.5,98,98,97,98
120,REBN,194.61,98,99,4,60
121,ALHC,194.58,98,95,91,98
122,TESL,194.53,98,98,67,65
123,JUNE,192.9,98,18,20,85
124,OCGN,192.39,98,99,55,4
125,ADUR,192.3,98,98,99,99
126,HRTG,192.03,98,98,95,99
127,MRT,191.62,98,98,99,99
128,BDTX,190.01,98,97,93,16
129,ESGL,190.0,98,70,92,99
130,SEZL,188.65,98,99,99,99
131,REAL,188.4,98,98,91,19
132,APLT,188.18,98,99,96,98
133,TAYD,187.93,98,98,93,92
134,TDUP,186.42,98,98,76,3
135,LTRY,186.16,98,98,3,2
136,TUYA,186.08,98,98,44,52
137,IESC,185.46,98,97,96,96
138,TBMCR,184.6,98,97,97,96
139,AMPG,183.73,98,98,6,8
140,CADL,183.21,98,99,99,99
141,GRAL,182.79,98,99,90,65
142,BMA,182.74,98,98,95,42
143,NEOV,182.29,98,84,2,9
144,UBXG,182.0,98,99,98,0
