Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
AR, 13.00B,2025-01-16,  40.57$,  2.10,  1.56,587,2,  1.25,  1.35,  1.32,  1.08,  1.06,  0.98,  1.03,N/A,N/A,N/A
CEG, 71.08B,2025-01-16, 314.65$,  3.87,  1.54,3650,3,  1.29,  1.40,  1.44,  1.08,  1.11,  1.03,  1.04,N/A,N/A,N/A
CQP, 30.83B,2025-01-16,  61.11$,  2.49,  2.49,3650,110,  1.14,  1.23,  1.25,  1.08,  1.10,  1.02,  1.02,N/A,N/A,N/A
CVNA, 24.29B,2025-01-16, 231.92$,  5.90,  2.48,18,6,  0.99,  1.30,  1.46,  1.30,  1.47,  1.13,  1.10,N/A,N/A,N/A
DUOL, 15.19B,2025-01-16, 341.80$,  4.13,  1.75,13,16,  1.02,  1.31,  1.39,  1.28,  1.35,  1.06,  1.05,N/A,N/A,N/A
EXE, 25.55B,2025-01-16, 107.15$,  1.67,  1.65,3650,16,  1.11,  1.27,  1.26,  1.14,  1.13,  0.99,  1.02,N/A,N/A,N/A
LNG, 51.83B,2025-01-16, 253.08$,  3.00,  1.76,3650,2,  1.18,  1.33,  1.39,  1.13,  1.18,  1.05,  1.04,N/A,N/A,N/A
PAA, 14.34B,2025-01-16,  19.79$,  1.52,  1.72,3650,4,  1.14,  1.16,  1.17,  1.02,  1.02,  1.01,  1.01,N/A,N/A,N/A
PNC, 70.02B,2025-01-16, 196.54$,  5.62,  2.73,1,127,  0.99,  1.09,  1.13,  1.10,  1.15,  1.04,  1.03,N/A,N/A,N/A
RJF, 29.46B,2025-01-16, 164.90$,  2.13,  1.50,27,16,  1.04,  1.24,  1.26,  1.19,  1.22,  1.02,  1.03,N/A,N/A,N/A
