Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
CPAY, 25.28B,2025-02-06, 389.55$,  2.92,  2.21,3650,59,  1.07,  1.18,  1.23,  1.10,  1.15,  1.04,  1.02,N/A,N/A,N/A
CRH, 62.88B,2025-02-06, 105.19$,  2.40,  2.36,3650,61,  1.08,  1.15,  1.20,  1.07,  1.11,  1.04,  1.02,N/A,N/A,N/A
CTSH, 38.58B,2025-02-06,  86.79$,  3.00,  2.06,716,93,  1.10,  1.14,  1.18,  1.04,  1.07,  1.03,  1.01,N/A,N/A,N/A
FICO, 46.87B,2025-02-06,1887.30$,  2.09,  1.86,12,1,  0.91,  0.98,  1.06,  1.08,  1.17,  1.08,  1.04,N/A,N/A,N/A
FWONK, 22.16B,2025-02-06, 100.05$,  4.44,  1.91,3650,30,  1.08,  1.21,  1.25,  1.11,  1.15,  1.04,  1.04,N/A,N/A,N/A
H, 11.90B,2025-02-06, 166.16$,  4.35,  2.02,3650,30,  1.06,  1.09,  1.10,  1.03,  1.04,  1.01,  1.00,N/A,N/A,N/A
HLT, 56.20B,2025-02-06, 270.24$,  4.65,  2.66,3650,152,  1.08,  1.16,  1.20,  1.07,  1.11,  1.03,  1.02,N/A,N/A,N/A
IHG, 17.40B,2025-02-06, 136.44$,  2.38,  1.94,3650,56,  1.07,  1.20,  1.24,  1.12,  1.15,  1.03,  1.03,N/A,N/A,N/A
IP, 29.27B,2025-02-06,  55.28$,  1.88,  5.99,3,2,  0.99,  1.10,  1.16,  1.11,  1.16,  1.05,  1.05,N/A,N/A,N/A
MKL, 23.87B,2025-02-06,2059.83$,  8.00,  3.59,3650,13,  1.17,  1.26,  1.27,  1.07,  1.08,  1.01,  1.02,N/A,N/A,N/A
MT, 23.99B,2025-02-06,  28.33$,  3.28,  4.12,248,370,  1.18,  1.20,  1.19,  1.02,  1.01,  0.99,  0.99,N/A,N/A,N/A
RBLX, 40.37B,2025-02-06,  67.12$, 10.41,  6.23,1,186,  1.10,  1.37,  1.47,  1.24,  1.33,  1.08,  1.07,N/A,N/A,N/A
