Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
BAM, 82.13B,2025-01-28,  60.61$,  2.01,  1.59,3650,1,  1.09,  1.27,  1.34,  1.17,  1.23,  1.05,  1.04,N/A,N/A,N/A
CCL, 28.62B,2025-01-28,  27.77$,  7.13,  1.55,901,23,  1.10,  1.35,  1.44,  1.23,  1.32,  1.07,  1.05,N/A,N/A,N/A
CIB, 10.66B,2025-01-28,  38.67$,  2.33,  4.93,3650,653,  1.18,  1.20,  1.20,  1.01,  1.01,  1.00,  1.00,N/A,N/A,N/A
CLS, 10.38B,2025-01-28,  94.48$,  3.00,  3.42,2,1,  0.99,  1.37,  1.47,  1.38,  1.48,  1.07,  1.11,N/A,N/A,N/A
CRWD, 92.06B,2025-01-28, 408.68$,  8.81,  2.26,3650,39,  1.14,  1.29,  1.28,  1.13,  1.12,  0.99,  1.01,N/A,N/A,N/A
CUK, 24.85B,2025-01-28,  25.29$,  7.99,  1.67,911,23,  1.10,  1.35,  1.45,  1.22,  1.31,  1.07,  1.05,N/A,N/A,N/A
DDOG, 37.90B,2025-01-28, 151.89$,  5.59,  1.96,26,31,  1.04,  1.18,  1.20,  1.14,  1.15,  1.02,  1.02,N/A,N/A,N/A
FFIV, 15.55B,2025-01-28, 269.72$,  2.32,  2.26,2,41,  1.06,  1.23,  1.30,  1.16,  1.23,  1.06,  1.04,N/A,N/A,N/A
FLEX, 14.10B,2025-01-28,  40.59$,  2.83,  1.59,2,1,  1.03,  1.17,  1.21,  1.15,  1.18,  1.03,  1.04,N/A,N/A,N/A
GLW, 41.97B,2025-01-28,  50.94$,  2.10,  2.75,2,60,  1.06,  1.15,  1.22,  1.08,  1.15,  1.06,  1.05,N/A,N/A,N/A
HUBS, 31.59B,2025-01-28, 794.57$,  3.56,  1.94,792,1,  1.11,  1.35,  1.34,  1.22,  1.21,  0.99,  1.02,N/A,N/A,N/A
LII, 20.49B,2025-01-28, 662.59$,  1.80,  2.26,2,23,  1.04,  1.11,  1.16,  1.07,  1.12,  1.05,  1.03,N/A,N/A,N/A
MANH, 10.85B,2025-01-28, 295.10$,  2.40,  1.76,27,23,  1.04,  1.10,  1.15,  1.05,  1.10,  1.05,  1.01,N/A,N/A,N/A
NET, 42.00B,2025-01-28, 139.98$,  7.97,  2.86,777,52,  1.28,  1.53,  1.58,  1.19,  1.24,  1.04,  1.02,N/A,N/A,N/A
NRG, 19.90B,2025-01-28, 100.44$,  1.52,  1.70,2,1,  1.04,  1.16,  1.19,  1.11,  1.15,  1.03,  1.05,N/A,N/A,N/A
RCL, 59.58B,2025-01-28, 264.33$,  6.65,  4.15,3650,313,  1.12,  1.37,  1.46,  1.22,  1.31,  1.07,  1.06,N/A,N/A,N/A
SGI, 11.99B,2025-01-28,  60.47$,  1.60,  2.67,4,53,  1.08,  1.16,  1.17,  1.07,  1.09,  1.01,  1.01,N/A,N/A,N/A
TWLO, 16.09B,2025-01-28, 146.97$,  3.53,  2.64,703,1,  1.35,  1.86,  1.99,  1.38,  1.47,  1.07,  1.08,N/A,N/A,N/A
VRT, 31.24B,2025-01-28, 106.50$,  2.18,  3.36,2,1,  0.83,  1.03,  1.06,  1.23,  1.27,  1.03,  1.06,N/A,N/A,N/A
VST, 40.96B,2025-01-28, 149.38$,  4.82,  2.86,2,1,  0.97,  1.28,  1.38,  1.33,  1.42,  1.07,  1.11,N/A,N/A,N/A
ZM, 23.74B,2025-01-28,  88.64$,  6.98,  1.67,41,23,  1.07,  1.25,  1.29,  1.16,  1.20,  1.03,  1.03,N/A,N/A,N/A
