Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change 100,Sell Date,Holding Duration,Profit,Held Days
GME, 13.21B,  23.78$, 15.10%, 53.61%,2024-05-27, 2.86%,581.95%,2024-05-28,N/A,-10.6812%,1
HUBS, 31.59B, 638.39$,  5.03%, 15.47%,2024-05-27, 7.55%,266.06%,2024-05-29,N/A,-5.0330%,2
AVERAGE,,,,,,,,,,-7.8571%,1.50
