Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change 100,Sell Date,Holding Duration,Profit,Held Days
BCH, 13.63B,  20.53$,  4.52%,  5.82%,2023-04-25, 4.29%,121.40%,2023-05-15,N/A,6.5270%,20
CMG, 67.57B,  40.20$, 15.53%, 28.56%,2023-04-25, 4.57%,460.74%,2023-05-22,N/A,1.8489%,27
GIB, 22.49B, 101.31$,  3.75%, 17.98%,2023-04-25, 2.69%,131.47%,2023-05-03,N/A,-2.0037%,8
RCI, 15.02B,  48.62$,  1.60%,  8.15%,2023-04-25, 2.39%,114.30%,2023-05-03,N/A,-0.1440%,8
AVERAGE,,,,,,,,,,1.5571%,15.75
