Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
LVS, 28.83B,  58.37$, 11.57%, 47.94%,2023-01-25, 1.97%,240.22%
NUE, 29.41B, 169.82$, 15.76%, 27.48%,2023-01-25, 5.78%,109.99%
TER, 14.55B, 103.67$, 10.85%, 11.28%,2023-01-25, 3.82%,132.05%
URI, 42.67B, 431.48$, 14.25%, 38.98%,2023-01-25, 3.93%,184.55%
