Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
AEM, 54.25B,2025-03-11, 100.57$,  1.68,  1.55,17,7,  1.10,  1.19,  1.24,  1.08,  1.13,  1.05,  1.05,0.995,2025-03-27,16,7.2189%
CCEP, 39.66B,2025-03-11,  83.37$,  2.90,  2.21,3,1,  1.04,  1.07,  1.09,  1.03,  1.05,  1.02,  1.02,0.791,2025-03-12,1,-0.5398%
COKE, 11.32B,2025-03-11,1303.52$,  5.82,  1.66,2,5,  0.97,  1.01,  1.06,  1.04,  1.09,  1.05,  1.05,0.735,2025-03-12,1,2.6643%
CYBR, 17.23B,2025-03-11, 330.95$,  6.27,  2.03,2,17,  0.92,  1.05,  1.11,  1.15,  1.21,  1.05,  1.05,1.056,2025-03-12,1,2.2783%
ETR, 36.23B,2025-03-11,  82.38$,  2.15,  1.54,4,1,  1.02,  1.16,  1.24,  1.14,  1.22,  1.07,  1.06,0.668,2025-03-12,1,0.3156%
FHN, 10.08B,2025-03-11,  18.04$,  1.88,  2.03,2,52,  0.87,  0.98,  1.03,  1.13,  1.18,  1.04,  1.04,0.884,2025-03-12,1,2.9933%
GFI, 18.76B,2025-03-11,  20.53$,  2.58,  1.66,3650,7,  1.21,  1.30,  1.31,  1.07,  1.08,  1.00,  1.02,0.765,2025-03-24,13,0.1948%
GWRE, 16.24B,2025-03-11, 172.82$,  3.36,  1.53,2,1,  0.89,  0.95,  1.02,  1.07,  1.14,  1.07,  1.06,1.309,2025-03-12,1,2.0657%
HWM, 54.33B,2025-03-11, 125.50$,  2.41,  1.54,4,1,  1.01,  1.14,  1.22,  1.13,  1.20,  1.07,  1.06,1.369,2025-03-12,1,1.9363%
NET, 41.81B,2025-03-11, 120.07$,  2.91,  1.75,2,1,  0.89,  1.15,  1.23,  1.28,  1.37,  1.07,  1.09,1.273,2025-03-12,1,-0.5580%
NRG, 19.83B,2025-03-11,  88.62$,  4.41,  1.78,3,1,  0.87,  0.96,  1.00,  1.10,  1.15,  1.04,  1.04,1.123,2025-03-12,1,4.3444%
PODD, 18.60B,2025-03-11, 245.35$,  2.99,  1.74,2,1,  0.90,  0.99,  1.05,  1.10,  1.17,  1.06,  1.05,1.287,2025-03-12,1,1.2350%
TDY, 23.84B,2025-03-11, 488.42$,  1.70,  1.72,3,5,  0.99,  1.06,  1.10,  1.06,  1.10,  1.04,  1.03,1.03,2025-03-12,1,-0.6183%
TEAM, 60.17B,2025-03-11, 224.10$,  3.58,  1.75,2,1,  0.82,  1.00,  1.06,  1.23,  1.30,  1.06,  1.06,0.912,2025-03-12,1,1.0442%
AVERAGE,,,,,,,,,,,,,,,,,2.93,1.7553% (774.7502%)
