Rank,Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,QUBT,580.41,99,99,99,20
2,WHLRL,578.06,99,98,91,59
3,TSSI,561.77,99,99,99,99
4,JL,554.75,99,99,99,2
5,BCTX,544.28,99,99,4,1
6,AMPGW,529.79,99,99,99,7
7,PSIX,500.4,99,99,99,99
8,OMH,493.86,99,7,5,4
9,KUKE,492.41,99,3,2,6
10,QBTS,482.48,99,99,99,20
11,CTM,476.96,99,99,98,9
12,JYD,475.88,99,99,99,24
13,SXTC,473.08,99,4,1,2
14,GRRR,469.59,99,99,99,26
15,DATSW,449.72,99,99,87,13
16,LIDRW,439.83,99,99,98,6
17,PTIR,432.07,99,99,99,94
18,LX,430.65,99,99,99,72
19,KC,423.97,99,99,99,21
20,MNDR,417.79,99,16,0,1
21,YOSH,417.38,99,98,7,98
22,NUTX,416.85,99,99,98,98
23,RETO,406.86,99,1,5,4
24,WGS,403.74,99,99,99,99
25,AMBR,399.88,99,99,99,97
26,TOI,396.64,99,99,2,2
27,KNW,377.61,99,99,2,10
28,UAMY,376.48,99,99,99,99
29,KULR,374.03,99,99,99,16
30,DBVT,363.88,99,99,99,5
31,XCUR,363.76,99,99,99,97
32,AZ,360.75,99,99,99,95
33,MLGO,358.35,99,7,0,0
34,PDYN,351.68,99,99,99,96
35,OCFT,344.13,99,97,95,9
36,GATEW,342.98,99,98,94,95
37,EXOD,339.64,99,99,99,99
38,ROOT,335.39,99,99,98,98
39,HSAI,326.14,99,99,98,13
40,VNET,324.6,99,99,91,97
41,STIM,319.76,99,99,44,2
42,RCAT,319.18,99,99,99,99
43,NUKK,317.19,99,99,99,3
44,LAES,316.6,99,99,99,2
45,CNL,315.93,99,98,92,80
46,UMAC,314.53,99,99,99,15
47,GMM,310.21,99,99,99,4
48,UPC,299.92,99,0,0,0
49,INOD,295.55,99,99,99,97
50,TMQ,292.53,99,98,98,37
51,XNET,288.81,99,97,86,50
52,MFH,288.2,99,99,99,11
53,RPID,286.01,99,99,68,56
54,VRNA,285.49,99,99,98,97
55,PULM,282.91,99,99,99,50
56,LNSR,280.93,99,97,98,84
57,ASTS,280.65,99,99,99,99
58,LTBR,279.63,99,99,95,13
59,APP,276.01,99,99,99,99
60,AGFY,274.13,99,99,99,2
61,DXYZ,273.35,99,99,99,14
62,MEGL,272.8,99,99,20,12
