Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
APH, 82.56B,2025-01-21,  72.53$,  2.52,  1.75,21,18,  1.01,  1.08,  1.10,  1.06,  1.09,  1.02,  1.03,1.258,2025-01-27,6,-7.1832%
EMR, 64.05B,2025-01-21, 128.93$,  2.09,  1.53,22,18,  1.02,  1.14,  1.15,  1.11,  1.12,  1.01,  1.01,1.351,2025-02-03,13,-1.2565%
ENB, 97.04B,2025-01-21,  45.31$,  1.54,  2.10,3650,25,  1.06,  1.15,  1.19,  1.08,  1.11,  1.03,  1.03,0.894,2025-01-28,7,-1.8760%
GLW, 40.35B,2025-01-21,  51.26$,  2.36,  1.65,3650,18,  1.08,  1.16,  1.24,  1.08,  1.15,  1.06,  1.04,1.019,2025-01-27,6,-3.9212%
INSM, 14.06B,2025-01-21,  76.75$,  4.99,  1.78,99,6,  1.08,  1.06,  1.23,  0.99,  1.14,  1.16,  1.08,1.282,2025-01-30,9,-0.5993%
NRG, 19.83B,2025-01-21, 111.07$,  3.55,  2.00,3650,14,  1.17,  1.29,  1.33,  1.11,  1.14,  1.03,  1.04,1.123,2025-01-27,6,-12.6047%
PWR, 38.63B,2025-01-21, 358.00$,  3.63,  2.18,3650,18,  1.09,  1.22,  1.25,  1.12,  1.15,  1.03,  1.03,1.101,2025-01-27,6,-18.3156%
UTHR, 13.96B,2025-01-21, 367.97$,  1.89,  1.94,21,18,  0.99,  1.05,  1.13,  1.06,  1.13,  1.07,  1.04,0.639,2025-01-30,9,-4.2585%
VST, 42.18B,2025-01-21, 185.03$,  3.10,  1.57,3650,48,  1.23,  1.63,  1.75,  1.32,  1.42,  1.07,  1.10,1.232,2025-01-27,6,-26.0444%
AVERAGE,,,,,,,,,,,,,,,,,7.56,-8.4511% (-98.5955%)
