Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
IVT,503.18,99,95,99,99,1
RYTM,450.86,99,98,3,12,2
NAMSW,355.41,99,5,0,9,3
TH,337.5,99,99,98,76,4
TRVI,321.9,99,99,99,5,5
GYRE,317.4,99,99,94,1,6
GETY,296.83,99,71,83,65,7
XTKG,287.48,99,99,11,1,8
SIGA,274.86,99,99,96,26,9
VRNA,253.21,99,93,28,58,10
BPT,248.9,99,99,99,99,11
HNRG,247.79,99,99,98,97,12
HPKEW,245.43,99,99,99,99,13
SXTC,244.79,99,99,99,0,14
ALT,244.33,99,99,9,12,15
COGT,241.45,99,98,19,18,16
PLRX,239.65,99,99,5,6,17
CNR,239.62,99,99,99,99,18
TCRT,236.24,99,99,4,8,19
LNTH,233.56,99,99,99,99,20
AMR,232.01,99,99,99,99,21
HHS,226.11,99,99,95,83,22
VET,224.32,99,99,99,99,23
PBF,223.64,99,99,99,95,24
CLFD,223.08,99,99,89,97,25
BAOS,222.83,99,96,5,1,26
TRMD,222.65,99,99,98,60,27
XHG,219.38,99,57,1,3,28
ASC,216.6,99,99,99,88,29
NEXT,215.57,99,97,99,95,30
TTNP,214.04,99,98,1,8,31
EXEEL,213.54,99,99,99,99,32
RCMT,212.04,99,99,99,97,33
CRK,211.18,99,98,99,94,34
DAWN,211.14,99,97,6,14,35
SRTS,210.18,99,99,98,99,36
STNG,208.82,99,99,98,85,37
HUSA,208.66,99,99,99,21,38
CPRX,207.02,99,98,87,97,39
SKYT,206.73,99,96,1,8,40
AXSM,204.65,99,93,37,18,41
VERU,204.5,99,99,98,13,42
BCAB,202.48,99,7,0,0,43
AR,202.39,99,99,99,98,44
EXEEZ,201.87,99,99,99,99,45
TMDX,201.54,99,99,96,16,46
KRUS,200.05,99,99,18,87,47
ARLP,199.17,99,99,99,99,48
HDSN,198.97,99,99,99,97,49
BOIL,198.91,99,99,99,62,50
BELFB,197.86,99,98,93,89,51
ASRT,197.75,99,99,99,97,52
SJT,197.48,99,99,99,96,53
OBE,195.37,99,98,99,99,54
SGML,194.48,99,99,99,99,55
EQT,193.98,99,99,99,91,56
OXY,193.0,99,99,99,98,57
CNET,192.54,99,14,3,5,58
NFE,191.91,99,98,97,30,59
TUSK,191.84,99,54,89,8,60
AEHR,191.51,99,97,94,99,61
TCTM,190.84,99,99,28,3,62
VEEE,190.82,99,24,37,17,63
PGY,189.9,99,96,83,70,64
APDN,189.75,99,0,2,3,65
JAKK,188.95,99,99,86,98,66
EXEEW,188.72,99,99,99,99,67
KGEI,188.65,99,99,99,22,68
AMLX,188.48,99,99,5,99,69
ULH,187.8,99,98,95,32,70
AACG,187.72,99,56,13,9,71
TNK,186.2,99,98,98,91,72
PBT,184.32,99,99,99,99,73
ELA,184.27,99,99,92,44,74
GLNG,183.92,99,98,98,98,75
MTR,182.27,99,98,99,97,76
PRPH,181.39,99,97,97,76,77
AVTE,179.39,99,98,74,10,78
ARRY,179.26,98,96,21,8,79
BELFA,178.57,98,98,97,93,80
NTRBW,177.33,98,99,99,98,81
IMCR,176.96,98,99,86,10,82
GERN,175.76,98,98,78,18,83
UNG,174.89,98,99,99,91,84
MNTK,174.58,98,92,95,81,85
KOS,174.14,98,98,99,98,86
GNE,173.92,98,99,95,76,87
HUDI,173.45,98,99,99,99,88
FPAY,173.41,98,7,15,11,89
HRB,173.19,98,99,97,81,90
