Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
MEDP, 10.07B, 397.56$,  0.77%, 31.54%,2024-04-22, 7.16%,238.11%
SYF, 21.71B,  45.02$,  8.22%, 26.86%,2024-04-23, 4.53%,116.66%
XPEV, 21.09B,  11.67$, 30.11%, 29.75%,2024-09-25, 1.46%,113.83%
