Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
DLTR, 14.44B, 162.80$,  5.92%, 25.11%,2022-05-25, 1.84%,236.28%
LNT, 15.94B,  62.46$,  5.42%,  5.60%,2022-05-25, 1.57%,150.92%
TKO, 12.61B,  66.09$, 10.42%, 19.12%,2022-05-25, 2.94%,140.25%
