Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
CEG, 71.08B,2025-01-29, 291.34$,  4.23,  1.78,3,1,  1.14,  1.26,  1.30,  1.11,  1.14,  1.03,  1.05,N/A,N/A,N/A
CIB, 10.66B,2025-01-29,  40.30$,  3.77,  2.20,3650,1,  1.23,  1.25,  1.25,  1.02,  1.02,  1.00,  1.00,N/A,N/A,N/A
CLS, 10.38B,2025-01-29, 100.49$,  2.25,  3.15,3,1,  1.05,  1.45,  1.56,  1.38,  1.48,  1.07,  1.11,N/A,N/A,N/A
NDAQ, 44.69B,2025-01-29,  81.46$,  2.71,  2.68,39,125,  1.03,  1.12,  1.18,  1.09,  1.14,  1.05,  1.03,N/A,N/A,N/A
SYF, 21.40B,2025-01-29,  68.52$,  2.51,  1.51,2,1,  1.03,  1.23,  1.31,  1.20,  1.27,  1.06,  1.06,N/A,N/A,N/A
VST, 40.96B,2025-01-29, 154.94$,  4.96,  1.93,3,1,  1.00,  1.32,  1.42,  1.32,  1.42,  1.07,  1.11,N/A,N/A,N/A
CEG, 71.08B,2025-01-29, 291.34$,  4.23,  1.78,3,1,  1.14,  1.26,  1.30,  1.11,  1.14,  1.03,  1.05,N/A,N/A,N/A
CIB, 10.66B,2025-01-29,  40.30$,  3.77,  2.20,3650,1,  1.23,  1.25,  1.25,  1.02,  1.02,  1.00,  1.00,N/A,N/A,N/A
CLS, 10.38B,2025-01-29, 100.49$,  2.25,  3.15,3,1,  1.05,  1.45,  1.56,  1.38,  1.48,  1.07,  1.11,N/A,N/A,N/A
NDAQ, 44.69B,2025-01-29,  81.46$,  2.71,  2.68,39,125,  1.03,  1.12,  1.18,  1.09,  1.14,  1.05,  1.03,N/A,N/A,N/A
SYF, 21.40B,2025-01-29,  68.52$,  2.51,  1.51,2,1,  1.03,  1.23,  1.31,  1.20,  1.27,  1.06,  1.06,N/A,N/A,N/A
VST, 40.96B,2025-01-29, 154.94$,  4.96,  1.93,3,1,  1.00,  1.32,  1.42,  1.32,  1.42,  1.07,  1.11,N/A,N/A,N/A
