Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
CASY, 15.68B,2025-03-21, 404.00$,  2.81,  1.82,12,6,  0.99,  1.02,  1.04,  1.03,  1.05,  1.02,  1.02,0.873,2025-03-27,6,6.6064%
CCI, 44.67B,2025-03-21, 106.39$,  1.60,  2.89,100,182,  1.17,  1.07,  1.07,  0.91,  0.92,  1.00,  1.00,0.906,2025-03-25,4,-5.5832%
CHWY, 13.54B,2025-03-21,  33.86$,  5.43,  1.56,11,50,  0.93,  1.05,  1.11,  1.12,  1.19,  1.06,  1.07,1.235,2025-03-27,6,-3.4554%
DOCS, 11.54B,2025-03-21,  62.99$,  2.32,  1.73,5,25,  0.99,  1.22,  1.37,  1.24,  1.39,  1.13,  1.11,1.345,2025-03-26,5,-2.3972%
DOCU, 17.60B,2025-03-21,  88.06$,  4.68,  1.74,25,5,  1.01,  1.13,  1.23,  1.13,  1.22,  1.08,  1.04,1.024,2025-03-27,6,-2.7368%
EQH, 16.64B,2025-03-21,  52.55$,  1.67,  4.53,2,315,  1.00,  1.12,  1.16,  1.12,  1.16,  1.04,  1.03,1.387,2025-03-27,6,1.4272%
FLEX, 13.55B,2025-03-21,  36.40$,  2.17,  2.07,15,79,  0.92,  0.99,  1.03,  1.08,  1.13,  1.04,  1.02,1.068,2025-03-26,5,-2.8297%
GRMN, 41.74B,2025-03-21, 210.19$,  1.58,  4.83,4,543,  0.97,  1.06,  1.11,  1.09,  1.14,  1.04,  1.03,0.974,2025-03-27,6,3.2209%
JBL, 15.76B,2025-03-21, 145.22$,  1.99,  2.45,14,60,  0.93,  1.08,  1.13,  1.16,  1.21,  1.05,  1.03,1.186,2025-03-27,6,-4.0077%
LUV, 20.38B,2025-03-21,  34.83$,  3.04,  2.42,417,8,  1.12,  1.14,  1.17,  1.01,  1.04,  1.03,  1.02,1.1,2025-03-27,6,-2.5840%
NRG, 19.83B,2025-03-21, 100.66$,  2.59,  2.54,15,187,  0.99,  1.08,  1.13,  1.09,  1.14,  1.05,  1.02,1.123,2025-03-26,5,-3.2684%
PAYC, 12.64B,2025-03-21, 218.30$,  2.45,  4.49,14,135,  1.04,  1.11,  1.18,  1.07,  1.13,  1.06,  1.03,1.141,2025-03-27,6,3.4448%
PODD, 18.60B,2025-03-21, 268.32$,  1.81,  1.98,12,9,  0.99,  1.07,  1.13,  1.08,  1.15,  1.06,  1.04,1.287,2025-03-27,6,-3.0001%
RGLD, 10.61B,2025-03-21, 157.01$,  1.89,  3.24,3650,565,  1.08,  1.10,  1.12,  1.02,  1.04,  1.02,  1.02,0.647,2025-03-27,6,2.7323%
TTWO, 38.10B,2025-03-21, 213.47$,  2.79,  2.20,12,29,  1.07,  1.20,  1.24,  1.12,  1.16,  1.04,  1.04,0.82,2025-03-27,6,0.3841%
AVERAGE,,,,,,,,,,,,,,,,,5.67,-0.8031% (-40.5117%)
