Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
CQP, 30.83B,2025-02-03,  64.31$,  6.36,  1.91,3650,1,  1.14,  1.27,  1.30,  1.11,  1.13,  1.02,  1.03,0.681,2025-02-07,4,-4.6183%
EME, 17.84B,2025-02-03, 448.40$,  2.56,  1.57,2,1,  0.92,  1.04,  1.08,  1.13,  1.17,  1.04,  1.04,1.135,2025-02-04,1,-0.7583%
EPD, 73.53B,2025-02-03,  33.13$,  4.65,  1.87,2,2,  1.04,  1.12,  1.15,  1.08,  1.11,  1.02,  1.02,1.054,2025-02-04,1,-0.4226%
FOXA, 24.08B,2025-02-03,  51.70$,  2.13,  2.02,3650,27,  1.08,  1.22,  1.29,  1.13,  1.20,  1.06,  1.05,0.679,2025-02-27,24,8.5880%
IBKR, 73.51B,2025-02-03, 223.21$,  5.73,  1.93,3650,2,  1.18,  1.47,  1.55,  1.24,  1.31,  1.06,  1.07,0.991,2025-02-11,8,-0.9005%
MMYT, 11.70B,2025-02-03, 118.23$,  8.64,  1.83,34,2,  1.06,  1.16,  1.25,  1.10,  1.17,  1.07,  1.05,1.363,2025-02-10,7,-6.2674%
MPLX, 54.93B,2025-02-03,  51.41$,  2.16,  1.53,2,1,  1.06,  1.17,  1.21,  1.10,  1.14,  1.03,  1.03,1.357,2025-02-12,9,2.3925%
NET, 41.81B,2025-02-03, 136.84$,  2.81,  1.56,1,3,  1.21,  1.47,  1.53,  1.21,  1.27,  1.04,  1.03,1.273,2025-02-19,16,17.3560%
WWD, 11.17B,2025-02-03, 187.63$,  3.10,  2.51,6,44,  1.05,  1.10,  1.10,  1.05,  1.04,  1.00,  1.02,1.393,2025-02-04,1,-1.8121%
AVERAGE,,,,,,,,,,,,,,,,,7.89,1.5064% (99.7250%)
