Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
AXP,195.81B, 201.43$,  8.14%, 22.71%,2024-01-25, 4.41%,326.18%
BAH, 13.19B, 146.38$, 14.17%, 27.50%,2024-01-25, 4.42%,207.00%
COF, 69.57B, 138.72$,  6.34%, 29.00%,2024-01-25, 4.45%,108.91%
FCNCA, 25.24B,1490.18$,  5.39%, 11.93%,2024-01-25, 7.19%,105.33%
GBTC, 48.27B,  37.51$,  1.33%, 64.71%,2024-01-25, 2.19%,145.42%
