Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
BCS, 57.01B,2025-03-04,  15.71$,  2.04,  2.46,1,2,  1.12,  1.23,  1.28,  1.10,  1.15,  1.04,  1.05,1.288,2025-03-10,6,-5.8561%
CRWD, 92.06B,2025-03-04, 390.16$,  3.38,  2.26,4,24,  1.01,  1.20,  1.17,  1.18,  1.16,  0.98,  1.04,1.193,2025-03-05,1,-6.3359%
CYBR, 17.23B,2025-03-04, 354.26$,  2.10,  1.58,2,2,  0.99,  1.14,  1.19,  1.15,  1.21,  1.05,  1.06,1.056,2025-03-05,1,2.1764%
DUOL, 14.99B,2025-03-04, 294.15$,  1.80,  2.00,1,1,  0.82,  0.99,  1.09,  1.20,  1.32,  1.10,  1.08,0.922,2025-03-05,1,-0.4793%
INSM, 14.06B,2025-03-04,  77.21$,  2.27,  2.70,2,47,  1.03,  1.05,  1.10,  1.02,  1.07,  1.05,  1.09,1.282,2025-03-05,1,0.4404%
LYG, 58.56B,2025-03-04,   3.82$,  2.88,  4.46,3650,2,  1.27,  1.29,  1.31,  1.02,  1.03,  1.01,  1.03,1.253,2025-03-10,6,-4.4503%
NET, 41.81B,2025-03-04, 140.93$,  4.03,  1.54,1,8,  1.06,  1.37,  1.46,  1.29,  1.37,  1.07,  1.09,1.273,2025-03-05,1,2.0010%
OKTA, 19.79B,2025-03-04, 108.31$,  7.62,  5.78,243,59,  1.22,  1.30,  1.26,  1.07,  1.04,  0.97,  1.00,1.089,2025-03-10,6,-2.8806%
ONC, 28.48B,2025-03-04, 257.31$,  2.06,  2.05,2,1,  1.20,  1.26,  1.34,  1.04,  1.11,  1.06,  1.05,0.654,2025-03-06,2,-0.1321%
TYL, 24.88B,2025-03-04, 617.30$,  1.95,  1.54,8,12,  1.03,  1.04,  1.08,  1.01,  1.05,  1.04,  1.03,0.8,2025-03-06,2,-1.6783%
VST, 42.18B,2025-03-04, 126.72$,  2.95,  2.14,2,3,  0.80,  0.99,  1.07,  1.23,  1.33,  1.08,  1.08,1.232,2025-03-05,1,-0.0552%
AVERAGE,,,,,,,,,,,,,,,,,2.55,-1.5682% (-89.6326%)
