Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
ATER,574.93,99,99,99,99,1
WGS,564.56,99,99,99,98,2
SEZL,493.5,99,99,99,99,3
LENZ,487.76,99,99,99,99,4
ASTS,484.55,99,99,99,4,5
PSIX,464.23,99,99,99,29,6
ADD,458.6,99,99,4,1,7
WHLRL,457.52,99,98,80,49,8
LUMN,413.29,99,99,8,16,9
LASE,413.04,99,99,65,18,10
INSG,370.96,99,99,99,17,11
PSNL,366.05,99,99,16,14,12
FTEL,365.47,99,99,99,99,13
NISN,362.63,99,99,22,87,14
CRBP,355.14,99,99,99,99,15
RGS,321.25,99,99,4,6,16
CADL,319.2,99,99,99,86,17
RAIL,314.2,99,98,87,92,18
RCAT,312.96,99,99,89,13,19
COMM,311.92,99,99,7,1,20
DOGZ,309.39,99,99,99,19,21
GLMD,298.19,99,9,9,5,22
HROW,295.37,99,99,97,20,23
ILLR,290.41,99,99,99,9,24
SLNO,290.33,99,99,99,99,25
ADMA,287.51,99,99,99,96,26
RMSG,283.87,99,76,64,45,27
CRIS,282.5,99,98,99,99,28
CRVS,282.0,99,99,50,90,29
MBRX,280.62,99,99,99,99,30
KINS,277.81,99,99,99,98,31
EXOD,276.25,99,99,99,99,32
CLOV,272.95,99,99,94,15,33
QTTB,272.65,99,99,47,83,34
RNA,265.66,99,99,99,98,35
GDC,265.08,99,47,5,2,36
RZLT,256.82,99,99,99,96,37
JVA,254.64,99,98,96,90,38
DAVE,252.85,99,99,99,99,39
CDNA,252.37,99,99,96,34,40
BURU,242.14,99,99,17,2,41
JANX,238.86,99,99,99,99,42
AEYE,238.8,99,99,99,98,43
ESGL,237.27,99,98,98,2,44
CURI,233.77,99,96,96,90,45
CORZ,231.18,99,99,99,23,46
AKA,228.88,99,99,98,94,47
ZETA,226.79,99,99,97,83,48
BGM,225.53,99,98,91,20,49
NUTX,223.18,99,93,0,2,50
CATX,222.98,99,99,98,99,51
PLSE,221.67,99,99,96,93,52
NTRBW,220.03,99,98,99,9,53
EOSE,219.18,99,98,7,4,54
AVAH,218.07,99,99,94,92,55
REAX,217.53,99,99,98,97,56
VSSYW,214.66,99,99,99,99,57
MRT,213.26,99,99,99,15,58
BVS,212.9,99,97,94,97,59
WLFC,212.12,99,98,91,54,60
BYRN,211.96,99,96,98,99,61
SKGRW,210.11,99,99,97,99,62
IGMS,209.95,99,79,16,22,63
CASI,209.69,99,98,87,38,64
NVDX,208.37,99,99,99,99,65
CSLR,206.99,99,92,91,1,66
TKNO,206.75,99,99,5,13,67
CMMB,202.94,99,96,84,25,68
ALTS,202.09,99,99,99,99,69
VKTX,201.95,99,99,99,99,70
FTAI,201.08,99,99,99,97,71
RMTI,200.66,99,97,23,15,72
HRTG,200.15,99,99,80,98,73
CCLD,197.93,99,97,92,6,74
CAVA,197.22,99,98,98,96,75
CLYM,195.84,99,97,99,25,76
UAMY,194.96,99,98,93,17,77
CVNA,193.66,99,99,99,99,78
APP,192.21,99,96,98,98,79
AXGN,191.88,99,98,48,56,80
STOK,191.72,99,99,99,96,81
SWIM,191.08,99,98,87,90,82
SOC,188.83,99,90,93,44,83
PRAX,188.46,99,98,97,99,84
