Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
CEG, 67.98B,2025-01-30, 307.97$,  2.26,  1.60,4,1,  1.20,  1.33,  1.37,  1.11,  1.15,  1.03,  1.05,0.884,2025-01-31,1,-2.7762%
CHKP, 25.07B,2025-01-30, 218.99$,  2.52,  2.96,3650,62,  1.18,  1.18,  1.23,  1.00,  1.05,  1.04,  1.02,0.619,2025-02-21,22,-1.0000%
CQP, 30.83B,2025-01-30,  62.46$,  1.78,  8.40,3650,339,  1.12,  1.23,  1.26,  1.10,  1.13,  1.02,  1.03,0.681,2025-01-31,1,-3.0580%
DGX, 18.49B,2025-01-30, 164.17$,  6.19,  3.10,3650,49,  1.06,  1.09,  1.11,  1.03,  1.06,  1.03,  1.02,0.919,2025-02-27,28,4.4953%
IBKR, 73.51B,2025-01-30, 218.90$,  2.73,  2.28,3650,4,  1.17,  1.45,  1.53,  1.24,  1.31,  1.05,  1.07,0.991,2025-02-11,12,1.0507%
IP, 29.15B,2025-01-30,  56.57$,  2.40,  2.99,1,60,  1.01,  1.13,  1.20,  1.12,  1.18,  1.06,  1.05,0.983,2025-01-31,1,-2.4748%
MMYT, 11.70B,2025-01-30, 111.45$,  1.59,  2.30,14,79,  1.00,  1.10,  1.18,  1.10,  1.18,  1.07,  1.05,1.363,2025-02-10,11,-0.5653%
PWR, 38.63B,2025-01-30, 309.29$,  2.05,  1.53,4,1,  0.94,  1.04,  1.07,  1.11,  1.14,  1.03,  1.03,1.101,2025-01-31,1,-0.5432%
VST, 42.18B,2025-01-30, 176.00$,  9.65,  2.39,4,2,  1.14,  1.50,  1.61,  1.32,  1.42,  1.07,  1.11,1.232,2025-01-31,1,-4.6932%
AVERAGE,,,,,,,,,,,,,,,,,8.67,-1.0627% (-36.2354%)
