Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
AGI, 11.23B,2025-03-05,  24.35$,  4.80,  1.82,3650,12,  1.17,  1.23,  1.29,  1.05,  1.10,  1.04,  1.05,1.02,2025-03-10,5,-5.3388%
AMP, 48.40B,2025-03-05, 509.09$,  1.94,  1.55,2,1,  0.95,  1.01,  1.05,  1.07,  1.11,  1.04,  1.03,1.326,2025-03-06,1,-1.2061%
COKE, 11.32B,2025-03-05,1356.34$,  1.57,  1.51,2,1,  1.02,  1.05,  1.11,  1.04,  1.09,  1.05,  1.05,0.735,2025-03-06,1,-1.3853%
CPT, 13.30B,2025-03-05, 124.42$,  2.21,  1.86,2,38,  1.07,  1.05,  1.08,  0.98,  1.01,  1.03,  1.02,0.958,2025-03-06,1,-2.0897%
CRH, 64.06B,2025-03-05, 102.74$,  3.82,  2.84,10,170,  1.04,  1.09,  1.14,  1.05,  1.09,  1.04,  1.03,1.368,2025-03-06,1,-3.8544%
DB, 49.04B,2025-03-05,  23.88$,  4.06,  5.25,3650,3,  1.25,  1.37,  1.39,  1.09,  1.11,  1.02,  1.03,1.188,2025-03-27,22,2.5963%
FER, 32.57B,2025-03-05,  46.22$,  2.14,  3.26,3650,2,  1.07,  1.12,  1.13,  1.04,  1.05,  1.01,  1.02,0.957,2025-03-06,1,-5.7551%
GFL, 18.20B,2025-03-05,  47.36$,  4.01,  2.16,3650,1,  1.06,  1.11,  1.15,  1.04,  1.08,  1.04,  1.04,1.051,2025-03-13,8,-2.8927%
KGC, 15.39B,2025-03-05,  11.44$,  2.27,  1.69,9,11,  1.08,  1.15,  1.21,  1.07,  1.12,  1.05,  1.06,1.312,2025-03-10,5,-7.6923%
MAA, 19.74B,2025-03-05, 170.03$,  2.31,  1.61,2,17,  1.10,  1.10,  1.14,  1.00,  1.03,  1.03,  1.03,0.898,2025-03-07,2,-2.1584%
MFC, 53.63B,2025-03-05,  29.96$,  2.87,  1.94,2,1,  0.99,  1.01,  1.05,  1.03,  1.06,  1.03,  1.03,1.018,2025-03-06,1,-1.9693%
NOK, 28.75B,2025-03-05,   5.17$,  3.29,  1.67,763,1,  1.11,  1.17,  1.21,  1.06,  1.10,  1.04,  1.03,0.776,2025-03-26,21,1.7408%
NTNX, 19.54B,2025-03-05,  77.10$,  2.72,  1.68,2,2,  1.14,  1.22,  1.25,  1.07,  1.09,  1.02,  1.02,1.041,2025-03-06,1,-7.4449%
OKTA, 19.79B,2025-03-05, 116.31$,  6.59,  3.38,710,1,  1.30,  1.40,  1.36,  1.08,  1.04,  0.97,  1.00,1.089,2025-03-10,5,-9.5607%
TRP, 50.38B,2025-03-05,  46.34$,  2.09,  2.26,11,53,  1.00,  1.00,  1.05,  1.00,  1.05,  1.05,  1.03,0.818,2025-03-27,22,4.1649%
TS, 21.57B,2025-03-05,  37.42$,  2.51,  1.61,3,9,  0.98,  1.10,  1.12,  1.12,  1.14,  1.02,  1.01,1.357,2025-03-07,2,-0.5077%
UNM, 14.55B,2025-03-05,  81.26$,  2.67,  1.85,2,1,  1.09,  1.23,  1.30,  1.13,  1.20,  1.06,  1.05,0.731,2025-03-07,2,-2.7320%
AVERAGE,,,,,,,,,,,,,,,,,5.94,-2.7109% (-81.5195%)
