Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
PODD, 18.60B,2025-02-21, 282.80$,  2.28,  2.56,1,40,  1.04,  1.17,  1.24,  1.13,  1.19,  1.06,  1.06,1.287,2025-02-25,4,-5.7001%
PRMB, 12.96B,2025-02-21,  33.96$,  2.41,  1.71,3650,1,  1.07,  1.28,  1.35,  1.20,  1.27,  1.06,  1.07,1.087,2025-03-03,10,-2.2968%
TME, 24.29B,2025-02-21,  14.38$,  6.95,  3.30,144,100,  1.22,  1.22,  1.16,  1.00,  0.95,  0.95,  1.00,0.69,2025-02-24,3,-9.7357%
TW, 31.71B,2025-02-21, 134.03$,  3.10,  2.24,32,283,  1.03,  1.07,  1.11,  1.04,  1.08,  1.04,  1.02,1.064,2025-03-06,13,-0.8953%
AVERAGE,,,,,,,,,,,,,,,,,7.50,-4.6570% (-90.1813%)
