Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
ARES, 47.30B,2025-02-05, 188.18$,  3.73,  2.13,1,60,  1.04,  1.18,  1.22,  1.13,  1.17,  1.04,  1.04,N/A,N/A,N/A
CLS, 10.38B,2025-02-05, 143.67$,  6.00,  3.00,3650,3,  1.45,  2.01,  2.17,  1.39,  1.49,  1.08,  1.12,N/A,N/A,N/A
COHR, 10.78B,2025-02-05,  90.10$,  1.65,  2.64,3,7,  0.91,  1.02,  1.10,  1.12,  1.21,  1.08,  1.05,N/A,N/A,N/A
DECK, 18.12B,2025-02-05, 172.52$,  1.81,  2.25,3,1,  0.85,  1.00,  1.02,  1.18,  1.21,  1.02,  1.04,N/A,N/A,N/A
FICO, 46.87B,2025-02-05,1847.80$, 10.74,  3.83,3,473,  0.89,  0.96,  1.04,  1.08,  1.17,  1.09,  1.04,N/A,N/A,N/A
IBKR, 73.51B,2025-02-05, 233.16$,  4.15,  2.33,3650,8,  1.23,  1.52,  1.60,  1.24,  1.31,  1.06,  1.07,N/A,N/A,N/A
MPLX, 55.25B,2025-02-05,  53.82$,  2.17,  1.52,3650,1,  1.11,  1.22,  1.26,  1.10,  1.14,  1.03,  1.03,N/A,N/A,N/A
NMR, 19.37B,2025-02-05,   6.98$,  4.73,  2.42,3650,58,  1.16,  1.22,  1.21,  1.05,  1.04,  0.99,  1.00,N/A,N/A,N/A
RBLX, 40.37B,2025-02-05,  75.47$,  1.67,  1.71,764,40,  1.25,  1.54,  1.66,  1.23,  1.33,  1.08,  1.07,N/A,N/A,N/A
UNM, 14.59B,2025-02-05,  77.72$,  4.58,  2.00,3650,29,  1.05,  1.23,  1.30,  1.18,  1.24,  1.05,  1.04,N/A,N/A,N/A
XPO, 13.00B,2025-02-05, 136.31$,  2.67,  1.67,4,20,  0.95,  1.09,  1.12,  1.14,  1.18,  1.03,  1.01,N/A,N/A,N/A
ARES, 47.30B,2025-02-05, 188.18$,  3.73,  2.13,1,60,  1.04,  1.18,  1.22,  1.13,  1.17,  1.04,  1.04,N/A,N/A,N/A
CHKP, 24.69B,2025-02-05, 216.99$,  2.11,  1.73,3,1,  1.15,  1.16,  1.21,  1.01,  1.06,  1.05,  1.02,N/A,N/A,N/A
CLS, 10.38B,2025-02-05, 143.67$,  6.00,  3.00,3650,3,  1.45,  2.01,  2.17,  1.39,  1.49,  1.08,  1.12,N/A,N/A,N/A
COHR, 10.78B,2025-02-05,  90.10$,  1.65,  2.64,3,7,  0.91,  1.02,  1.10,  1.12,  1.21,  1.08,  1.05,N/A,N/A,N/A
FICO, 46.87B,2025-02-05,1847.80$, 10.74,  3.83,3,473,  0.89,  0.96,  1.04,  1.08,  1.17,  1.09,  1.04,N/A,N/A,N/A
IBKR, 73.51B,2025-02-05, 233.16$,  4.15,  2.33,3650,8,  1.23,  1.52,  1.60,  1.24,  1.31,  1.06,  1.07,N/A,N/A,N/A
KNSL, 11.23B,2025-02-05, 484.81$,  4.94,  1.59,32,1,  1.04,  1.07,  1.10,  1.03,  1.06,  1.04,  0.99,N/A,N/A,N/A
MPLX, 55.25B,2025-02-05,  53.82$,  2.17,  1.52,3650,1,  1.11,  1.22,  1.26,  1.10,  1.14,  1.03,  1.03,N/A,N/A,N/A
NMR, 19.37B,2025-02-05,   6.98$,  4.73,  2.42,3650,58,  1.16,  1.22,  1.21,  1.05,  1.04,  0.99,  1.00,N/A,N/A,N/A
RBLX, 40.37B,2025-02-05,  75.47$,  1.67,  1.71,764,40,  1.25,  1.54,  1.66,  1.23,  1.33,  1.08,  1.07,N/A,N/A,N/A
UNM, 14.59B,2025-02-05,  77.72$,  4.58,  2.00,3650,29,  1.05,  1.23,  1.30,  1.18,  1.24,  1.05,  1.04,N/A,N/A,N/A
XPO, 13.00B,2025-02-05, 136.31$,  2.67,  1.67,4,20,  0.95,  1.09,  1.12,  1.14,  1.18,  1.03,  1.01,N/A,N/A,N/A
