Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
AEM, 54.25B,2025-03-27, 107.83$,  1.80,  0.99,3650,4,  1.11,  1.24,  1.30,  1.11,  1.17,  1.05,  1.05,0.995,N/A,N/A,N/A
AGI, 11.23B,2025-03-27,  26.71$,  2.51,  1.05,3650,2,  1.17,  1.30,  1.36,  1.11,  1.16,  1.05,  1.05,1.02,N/A,N/A,N/A
AZO, 63.66B,2025-03-27,3828.11$,  3.35,  2.18,3650,17,  1.11,  1.17,  1.20,  1.06,  1.08,  1.02,  1.03,0.71,N/A,N/A,N/A
BRO, 35.14B,2025-03-27, 122.90$,  0.52,  0.83,3650,3,  1.09,  1.14,  1.18,  1.04,  1.08,  1.03,  1.03,0.856,N/A,N/A,N/A
CAH, 33.01B,2025-03-27, 136.65$,  1.35,  1.15,3650,4,  1.07,  1.15,  1.20,  1.07,  1.12,  1.05,  1.03,0.677,N/A,N/A,N/A
CBOE, 23.10B,2025-03-27, 220.27$,  1.57,  0.62,3650,1,  1.06,  1.07,  1.10,  1.01,  1.04,  1.03,  1.02,0.661,N/A,N/A,N/A
CHKP, 25.07B,2025-03-27, 231.31$,  0.43,  0.90,3650,4,  1.08,  1.17,  1.21,  1.09,  1.13,  1.03,  1.04,0.619,N/A,N/A,N/A
CNA, 13.74B,2025-03-27,  51.00$,  1.06,  0.94,3650,1,  1.07,  1.09,  1.11,  1.02,  1.03,  1.02,  1.02,0.679,N/A,N/A,N/A
FNV, 30.28B,2025-03-27, 157.24$,  1.88,  1.11,472,2,  1.11,  1.21,  1.23,  1.09,  1.11,  1.02,  1.02,0.655,N/A,N/A,N/A
GFL, 18.20B,2025-03-27,  48.80$,  1.21,  1.66,3650,1,  1.08,  1.12,  1.15,  1.04,  1.07,  1.03,  1.04,1.051,N/A,N/A,N/A
GL, 10.94B,2025-03-27, 131.42$,  0.19,  0.85,3650,1,  1.07,  1.17,  1.24,  1.10,  1.16,  1.06,  1.05,0.77,N/A,N/A,N/A
ICE,101.12B,2025-03-27, 176.36$,  0.26,  0.94,3650,3,  1.07,  1.10,  1.13,  1.03,  1.06,  1.03,  1.03,1.092,N/A,N/A,N/A
KGC, 15.39B,2025-03-27,  12.51$,  1.20,  0.79,3650,3,  1.11,  1.22,  1.28,  1.11,  1.16,  1.05,  1.04,1.312,N/A,N/A,N/A
L, 19.25B,2025-03-27,  91.40$,  0.63,  0.74,3650,1,  1.07,  1.10,  1.12,  1.03,  1.05,  1.02,  1.01,0.795,N/A,N/A,N/A
MMC,119.20B,2025-03-27, 243.41$,  1.40,  1.27,3650,4,  1.07,  1.09,  1.10,  1.02,  1.03,  1.01,  1.02,0.943,N/A,N/A,N/A
MO, 98.47B,2025-03-27,  58.30$,  0.75,  0.99,3650,1,  1.08,  1.12,  1.16,  1.04,  1.07,  1.03,  1.03,0.606,N/A,N/A,N/A
ORLY, 80.95B,2025-03-27,1423.62$,  2.16,  1.28,3650,4,  1.08,  1.16,  1.20,  1.07,  1.11,  1.03,  1.03,0.912,N/A,N/A,N/A
RGLD, 10.61B,2025-03-27, 161.30$,  0.40,  1.19,3650,4,  1.09,  1.12,  1.15,  1.03,  1.05,  1.02,  1.02,0.647,N/A,N/A,N/A
ROL, 25.98B,2025-03-27,  53.78$,  1.10,  0.94,3650,1,  1.07,  1.09,  1.09,  1.02,  1.03,  1.01,  1.01,0.777,N/A,N/A,N/A
RSG, 75.02B,2025-03-27, 239.77$,  0.26,  1.20,3650,1,  1.06,  1.13,  1.15,  1.07,  1.09,  1.02,  1.03,0.738,N/A,N/A,N/A
T,202.42B,2025-03-27,  28.20$,  1.52,  1.10,3650,4,  1.11,  1.23,  1.30,  1.11,  1.17,  1.05,  1.05,0.705,N/A,N/A,N/A
TW, 31.71B,2025-03-27, 146.26$,  1.02,  0.69,3650,2,  1.11,  1.13,  1.18,  1.02,  1.07,  1.04,  1.02,1.064,N/A,N/A,N/A
VRSN, 24.10B,2025-03-27, 254.74$,  2.54,  1.19,813,4,  1.12,  1.26,  1.30,  1.13,  1.17,  1.03,  1.04,0.872,N/A,N/A,N/A
WCN, 50.06B,2025-03-27, 193.91$,  0.98,  0.52,3650,1,  1.04,  1.06,  1.07,  1.02,  1.03,  1.01,  1.01,0.804,N/A,N/A,N/A
WPM, 34.76B,2025-03-27,  76.62$,  0.77,  0.98,3650,2,  1.14,  1.21,  1.24,  1.06,  1.09,  1.03,  1.03,0.705,N/A,N/A,N/A
WRB, 27.22B,2025-03-27,  66.28$,  0.95,  1.01,3650,4,  1.08,  1.11,  1.14,  1.03,  1.06,  1.03,  1.02,0.641,N/A,N/A,N/A
WTW, 33.98B,2025-03-27, 340.88$,  0.46,  0.94,3650,4,  1.04,  1.10,  1.14,  1.06,  1.10,  1.04,  1.03,0.72,N/A,N/A,N/A
