Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
FDX, 58.06B, 288.99$, 13.01%, 14.24%,2024-03-25, 2.03%,101.57%
SNX, 10.98B, 112.27$,  7.50%, 12.55%,2024-03-25, 5.44%,175.86%
STX, 18.62B,  94.72$,  4.09%, 27.37%,2024-03-25, 1.29%,196.07%
