Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
AEM, 54.25B,2025-02-28,  96.28$,  3.25,  1.67,2,8,  1.09,  1.15,  1.21,  1.06,  1.11,  1.05,  1.05,0.995,2025-03-03,3,-0.3635%
ARES, 48.35B,2025-02-28, 169.61$,  1.73,  1.72,5,16,  0.93,  1.03,  1.08,  1.11,  1.16,  1.04,  1.04,1.257,2025-03-03,3,-0.6898%
BK, 61.09B,2025-02-28,  88.95$,  1.97,  1.82,3650,30,  1.08,  1.18,  1.25,  1.09,  1.16,  1.06,  1.05,1.051,2025-03-04,4,-3.8336%
CYBR, 17.23B,2025-02-28, 363.85$,  3.28,  1.95,2,9,  1.02,  1.17,  1.23,  1.15,  1.21,  1.05,  1.06,1.056,2025-03-03,3,-2.8281%
ESS, 21.13B,2025-02-28, 311.57$,  1.53,  2.23,714,33,  1.09,  1.07,  1.10,  0.99,  1.01,  1.02,  1.02,0.92,2025-03-06,6,-3.2513%
FNV, 30.28B,2025-02-28, 142.94$,  2.26,  1.79,10,45,  1.10,  1.13,  1.14,  1.03,  1.04,  1.01,  1.02,0.655,2025-03-26,26,7.2338%
FWONA, 22.02B,2025-02-28,  89.12$,  4.63,  2.09,4,1,  1.03,  1.14,  1.19,  1.11,  1.16,  1.04,  1.04,1.05,2025-03-03,3,-2.9399%
FWONK, 22.02B,2025-02-28,  96.43$,  4.38,  2.65,4,1,  1.02,  1.13,  1.17,  1.11,  1.15,  1.04,  1.04,1.05,2025-03-03,3,-2.8726%
GDDY, 25.88B,2025-02-28, 179.50$,  2.40,  1.95,8,9,  0.90,  1.01,  1.06,  1.12,  1.19,  1.06,  1.05,1.255,2025-03-06,6,-4.1058%
GFL, 18.20B,2025-02-28,  45.16$,  3.61,  1.62,4,1,  1.02,  1.06,  1.10,  1.04,  1.08,  1.04,  1.03,1.051,2025-03-13,13,1.8379%
GL, 10.94B,2025-02-28, 127.43$,  1.91,  1.58,3650,45,  1.09,  1.18,  1.25,  1.08,  1.15,  1.06,  1.06,0.77,2025-03-04,4,-2.5740%
GLW, 40.35B,2025-02-28,  50.15$,  2.83,  1.75,4,20,  1.01,  1.09,  1.14,  1.08,  1.13,  1.04,  1.05,1.019,2025-03-03,3,-3.7886%
HWM, 54.33B,2025-02-28, 136.60$,  2.35,  1.76,6,10,  1.12,  1.26,  1.34,  1.12,  1.20,  1.07,  1.07,1.369,2025-03-03,3,-4.0849%
LNG, 51.99B,2025-02-28, 228.56$,  4.01,  2.09,16,11,  1.03,  1.14,  1.19,  1.10,  1.16,  1.05,  1.04,0.939,2025-03-04,4,-3.7539%
LYG, 58.56B,2025-02-28,   3.75$,  1.60, 14.05,3650,0,  1.26,  1.27,  1.29,  1.01,  1.02,  1.01,  1.03,1.253,2025-03-10,10,-2.6667%
MMM, 82.89B,2025-02-28, 155.12$,  2.33,  2.29,3650,27,  1.10,  1.17,  1.24,  1.06,  1.13,  1.07,  1.05,1.017,2025-03-04,4,-5.9696%
PODD, 18.60B,2025-02-28, 272.27$,  1.61,  1.70,4,3,  1.00,  1.12,  1.18,  1.12,  1.18,  1.06,  1.05,1.287,2025-03-03,3,0.1359%
SFM, 14.77B,2025-02-28, 148.40$,  3.74,  1.99,2,5,  1.00,  1.17,  1.29,  1.17,  1.29,  1.10,  1.10,0.673,2025-03-03,3,-0.9636%
TDY, 23.84B,2025-02-28, 515.02$,  2.51,  1.81,16,26,  1.06,  1.12,  1.16,  1.06,  1.10,  1.04,  1.03,1.03,2025-03-04,4,-4.2833%
VST, 42.18B,2025-02-28, 133.43$,  4.07,  1.75,2,1,  0.84,  1.05,  1.13,  1.24,  1.34,  1.08,  1.09,1.232,2025-03-03,3,-7.2622%
AVERAGE,,,,,,,,,,,,,,,,,5.55,-2.3512% (-79.0859%)
