Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
CSGP, 33.84B,  80.04$, 10.33%, 21.46%,2022-10-25, 1.59%,117.92%
RJF, 29.86B, 106.92$,  3.65%,  5.04%,2022-10-25, 1.80%,100.24%
ROL, 25.38B,  39.55$,  9.38%, 14.57%,2022-10-25, 4.78%,160.73%
