Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change 100,Sell Date,Holding Duration,Profit,Held Days
CPRT, 53.65B,  52.50$,  5.63%, 14.14%,2024-02-25, 2.74%,125.93%,2024-04-03,N/A,6.1714%,38
EME, 18.16B, 274.88$, 13.23%, 32.76%,2024-02-25, 2.01%,273.24%,2024-04-08,N/A,28.0195%,43
HOOD, 40.43B,  15.59$, 28.04%, 47.81%,2024-02-25, 5.64%,118.03%,2024-04-03,N/A,18.3451%,38
LI, 28.28B,  41.34$, 34.69%, 17.06%,2024-02-25, 5.66%,388.37%,2024-03-05,N/A,-8.3938%,9
TPG, 19.17B,  43.88$,  2.22%, 34.16%,2024-02-25, 2.21%,637.77%,2024-02-27,N/A,-0.5697%,2
AVERAGE,,,,,,,,,,8.7145%,26.00
