Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change 100,Sell Date,Holding Duration,Profit,Held Days
ALNY, 35.39B, 245.17$, 48.61%, 48.06%,2024-06-25, 3.05%,216.53%,2024-07-15,N/A,1.9007%,20
FDX, 58.18B, 296.19$, 17.45%, 16.12%,2024-06-25, 2.62%,508.12%,2024-07-22,N/A,1.5564%,27
AVERAGE,,,,,,,,,,1.7286%,23.50
