Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Sell Date,Holding Duration,Profit
APH, 82.97B,2025-01-22,  77.64$,  2.56,  2.18,3650,66,  1.08,  1.15,  1.18,  1.06,  1.09,  1.02,  1.03,N/A,N/A,N/A
COF, 68.73B,2025-01-22, 200.33$,  1.79,  2.62,3650,50,  1.09,  1.27,  1.31,  1.17,  1.20,  1.03,  1.03,N/A,N/A,N/A
DFS, 41.85B,2025-01-22, 196.82$,  3.28,  2.26,3650,19,  1.12,  1.32,  1.38,  1.18,  1.24,  1.05,  1.04,N/A,N/A,N/A
FIX, 12.50B,2025-01-22, 549.59$,  1.56,  1.79,3650,4,  1.19,  1.42,  1.49,  1.20,  1.26,  1.05,  1.04,N/A,N/A,N/A
GLW, 41.97B,2025-01-22,  53.70$,  3.07,  2.38,3650,19,  1.12,  1.22,  1.30,  1.08,  1.15,  1.06,  1.04,N/A,N/A,N/A
MMYT, 11.83B,2025-01-22, 103.15$,  2.53,  1.95,2,1,  0.93,  1.03,  1.10,  1.11,  1.19,  1.07,  1.06,N/A,N/A,N/A
NTRA, 20.90B,2025-01-22, 171.93$,  2.08,  1.69,7,2,  1.06,  1.30,  1.39,  1.23,  1.30,  1.06,  1.07,N/A,N/A,N/A
OWL, 32.53B,2025-01-22,  25.34$,  4.10,  1.68,3650,3,  1.09,  1.26,  1.30,  1.16,  1.19,  1.03,  1.03,N/A,N/A,N/A
PEN, 10.60B,2025-01-22, 275.84$,  3.05,  1.99,340,9,  1.13,  1.32,  1.33,  1.17,  1.17,  1.01,  1.01,N/A,N/A,N/A
TDY, 23.74B,2025-01-22, 511.67$,  3.54,  2.83,3650,37,  1.08,  1.17,  1.20,  1.08,  1.10,  1.02,  1.01,N/A,N/A,N/A
