Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
AMP, 48.40B,2025-02-13, 539.74$,  1.89,  1.88,5,10,  0.99,  1.09,  1.13,  1.10,  1.14,  1.04,  1.03,1.326,2025-02-21,8,-1.7156%
CPNG, 42.57B,2025-02-13,  25.00$,  5.56,  2.44,50,2,  1.08,  1.07,  1.08,  0.99,  1.00,  1.01,  1.01,1.098,2025-02-24,11,-1.4800%
CRBG, 18.23B,2025-02-13,  31.78$,  2.14,  1.74,1,42,  1.02,  1.07,  1.08,  1.05,  1.06,  1.01,  1.02,0.786,2025-02-21,8,2.1082%
CRH, 64.06B,2025-02-13, 106.50$,  1.78,  1.73,3650,1,  1.09,  1.16,  1.20,  1.06,  1.10,  1.04,  1.02,1.368,2025-02-20,7,-3.6808%
DOCS, 11.54B,2025-02-13,  76.99$,  5.14,  2.00,3,1,  1.35,  1.71,  1.90,  1.26,  1.41,  1.11,  1.10,1.345,2025-02-20,7,-2.5848%
DUOL, 14.99B,2025-02-13, 430.32$,  6.82,  2.65,3650,96,  1.23,  1.53,  1.65,  1.24,  1.34,  1.08,  1.06,0.922,2025-02-21,8,-10.4504%
HWM, 54.33B,2025-02-13, 128.08$,  1.91,  2.02,1,35,  1.08,  1.22,  1.30,  1.13,  1.20,  1.06,  1.07,1.369,2025-02-21,8,1.3663%
JLL, 12.06B,2025-02-13, 279.33$,  2.93,  1.79,3,23,  1.05,  1.08,  1.15,  1.03,  1.09,  1.06,  1.04,1.36,2025-02-19,6,-0.0215%
MCO, 84.57B,2025-02-13, 526.49$,  1.59,  1.97,3650,5,  1.09,  1.11,  1.15,  1.02,  1.06,  1.04,  1.03,1.335,2025-02-20,7,-3.0067%
PPC, 12.62B,2025-02-13,  52.05$,  6.09,  1.53,2,35,  1.09,  1.13,  1.19,  1.04,  1.09,  1.05,  1.03,0.716,2025-03-05,20,2.5552%
RGLD, 10.61B,2025-02-13, 153.49$,  2.34,  2.22,77,35,  1.10,  1.09,  1.12,  1.00,  1.03,  1.03,  1.02,0.647,2025-02-27,14,-5.5052%
TYL, 24.88B,2025-02-13, 646.74$,  3.99,  2.45,3650,53,  1.08,  1.10,  1.15,  1.02,  1.07,  1.05,  1.04,0.8,2025-02-21,8,-4.8752%
WAB, 32.07B,2025-02-13, 196.22$,  2.84,  1.83,2,1,  0.98,  1.07,  1.10,  1.09,  1.12,  1.03,  1.04,1.307,2025-02-14,1,-4.2147%
WELL, 96.14B,2025-02-13, 150.77$,  2.60,  1.55,3650,35,  1.15,  1.20,  1.27,  1.04,  1.10,  1.05,  1.04,1.191,2025-03-06,21,-1.1939%
WMB, 73.18B,2025-02-13,  56.95$,  6.64,  1.99,14,13,  1.03,  1.14,  1.21,  1.11,  1.17,  1.05,  1.05,1.071,2025-02-25,12,-2.2300%
AVERAGE,,,,,,,,,,,,,,,,,9.73,-2.3286% (-58.6687%)
