Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Sell Date,Holding Duration,Profit
FNV, 30.28B,2025-03-13, 150.13$,  1.98,  2.44,454,1,  1.11,  1.18,  1.19,  1.06,  1.07,  1.01,  1.02,0.655,2025-03-26,13,2.0982%
WPM, 34.76B,2025-03-13,  72.72$,  1.61,  1.51,3650,54,  1.14,  1.17,  1.20,  1.03,  1.05,  1.03,  1.03,0.705,2025-03-27,14,5.3630%
AVERAGE,,,,,,,,,,,,,,,,,13.50,3.7306% (169.2007%)
