Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
EQT, 32.41B,  34.33$, 29.64%, 61.56%,2022-03-24,10.17%,160.76%
EXE, 25.55B,  89.32$, 11.27%, 41.79%,2022-03-24, 3.64%,100.26%
LNG, 51.89B, 149.30$, 11.82%, 45.86%,2022-03-24, 2.88%,109.69%
WDS, 27.66B,  25.48$, 10.24%, 45.70%,2022-03-24, 1.45%,271.12%
