Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Price Change,Volume Change
DASH, 83.90B, 193.09$,  5.26%, 36.23%,2025-02-10, 1.12%,129.99%
FSLR, 14.07B, 249.81$, 28.63%, 51.70%,2024-05-21,15.26%,546.59%
MRNA, 13.21B, 164.01$, 30.13%, 64.51%,2024-05-21,12.51%,224.77%
